Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
CAS-55-3_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 7.256942499180691e-05)	(18, 0.00010159719498852967)	(20, 0.00011611107998689105)	(22, 0.00011611107998689105)	(24, 0.00013062496498525243)	(26, 0.00015965273498197522)	(28, 0.00017416661998033659)	(30, 0.00017416661998033659)	(32, 0.00017416661998033659)	(34, 0.00018868050497869795)	(36, 0.00020319438997705935)	(38, 0.00031930546996395044)	(40, 0.0004063887799541187)	(42, 0.0004354165499508415)	(44, 0.0004934720899442869)	(46, 0.0006386109399279009)	(48, 0.0007402081349164305)	(50, 0.0008127775599082374)	(52, 0.0008853469849000443)	(54, 0.0010449997198820195)	(56, 0.0010885413748771037)	(58, 0.0011465969148705493)	(60, 0.001291735764854163)	(62, 0.0014223607298394156)	(64, 0.0015674995798230292)	(66, 0.0017997217397968113)	(68, 0.001973888359777148)	(70, 0.0021045133247624007)	(72, 0.002264166059744376)	(74, 0.0023947910247296283)	(76, 0.0026415270697017715)	(78, 0.0029753464246640837)	(80, 0.0033672213196198407)	(82, 0.003802637869570682)	(84, 0.004426734924500221)	(86, 0.005268540254405182)	(88, 0.005979720619324889)	(90, 0.006821525949229849)	(92, 0.00818583113907582)	(94, 0.009579164098918513)	(96, 0.011103122023746458)	(98, 0.012989927073533438)	(100, 0.01544277363825651)	(102, 0.01859228668290093)	(104, 0.022322355127479807)	(106, 0.02612499299705049)	(108, 0.03013082525659823)	(110, 0.03532679608601161)	(112, 0.041233947280344685)	(114, 0.04759102890962697)	(116, 0.05545755457873884)	(118, 0.06473192709269177)	(120, 0.07371602190667746)	(122, 0.08473206062043376)	(124, 0.09643025192911303)	(126, 0.10905733187768743)	(128, 0.12371635572603243)	(130, 0.1394348931792578)	(132, 0.15725794395724557)	(134, 0.17666300820005476)	(136, 0.1982886968476132)	(138, 0.22088681579006186)
CAS-55-3_R1_001 - polya	(1, 0.018316522867932065)	(2, 0.026705548396984944)	(3, 0.03396249089616563)	(4, 0.04179998879528078)	(5, 0.049608458924399204)	(6, 0.0587812342433636)	(7, 0.0660381767425443)	(8, 0.07283067492177742)	(9, 0.07939095094103676)	(10, 0.08849115683500935)	(12, 0.1027147641334035)	(14, 0.11506608026700904)	(16, 0.1268078132306834)	(18, 0.13737392150949046)	(20, 0.14751912712334508)	(22, 0.15827391590713086)	(24, 0.16936252404587898)	(26, 0.1797544657047057)	(28, 0.19094467103844234)	(30, 0.20146723766225436)	(32, 0.2124252208360172)	(34, 0.223702509479744)	(36, 0.23529910359343476)	(38, 0.24524111481731228)	(40, 0.25550243151115376)	(42, 0.2665474979949068)	(44, 0.2775490228236647)	(46, 0.28884082535238986)	(48, 0.3005099888910724)	(50, 0.31080033335491064)	(52, 0.32062623349880126)	(54, 0.33037956421770015)	(56, 0.3415987973214335)	(58, 0.3518891417852717)	(60, 0.36254233337406894)	(62, 0.37336969158284655)	(64, 0.3847195496515652)	(66, 0.3951260051953903)	(68, 0.40547440519922195)	(70, 0.41622919398300773)	(72, 0.42637439959686235)	(74, 0.43782585486056946)	(76, 0.4498868932942078)	(78, 0.4605255709980067)	(80, 0.47165772079174983)	(82, 0.48222382907055694)	(84, 0.49402361757422475)	(86, 0.505925003272881)	(88, 0.516200833851721)	(90, 0.5271878447954805)	(92, 0.5377249253042908)	(94, 0.549539227692957)	(96, 0.5614406133916134)	(98, 0.5724131104503745)	(100, 0.5833130380841439)	(102, 0.5945032434178805)	(104, 0.6056644209816204)	(106, 0.618059278770221)	(108, 0.6304396226738234)	(110, 0.642152327867501)	(112, 0.6546632967360886)	(114, 0.6667243351697267)	(116, 0.6768695407835814)	(118, 0.6882339127372984)	(120, 0.7004400900209203)	(122, 0.7115867536996618)	(124, 0.7236477921333002)	(126, 0.7349541085470237)	(128, 0.7476682718055883)	(130, 0.7608468793841003)	(132, 0.7736336120676568)	(134, 0.7863187475562246)	(136, 0.7994973551347367)	(138, 0.8115148519133799)
CAS-55-3_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 5.8055539993445526e-05)	(14, 5.8055539993445526e-05)	(16, 0.00014513884998361383)	(18, 0.00018868050497869795)	(20, 0.00020319438997705935)	(22, 0.00020319438997705935)	(24, 0.00021770827497542074)	(26, 0.00024673604497214347)	(28, 0.00026124992997050487)	(30, 0.00026124992997050487)	(32, 0.00027576381496886626)	(34, 0.00029027769996722765)	(36, 0.00029027769996722765)	(38, 0.00037736100995739596)	(40, 0.0004644443199475642)	(42, 0.0005370137449393712)	(44, 0.0006386109399279009)	(46, 0.0008418053299049602)	(48, 0.0009434025248934899)	(50, 0.0010159719498852968)	(52, 0.001103055259875465)	(54, 0.0012772218798558018)	(56, 0.0013207635348508858)	(58, 0.0013352774198492471)	(60, 0.001552985694824668)	(62, 0.001741666199803366)	(64, 0.0019303467047820638)	(66, 0.0021480549797574847)	(68, 0.002351249369734544)	(70, 0.0024963882197181577)	(72, 0.0026560409547001333)	(74, 0.002844721459678831)	(76, 0.0030188880796591672)	(78, 0.0033962490896165634)	(80, 0.003831665639567405)	(82, 0.0042961099595149686)	(84, 0.005007290324434676)	(86, 0.005863609539337998)	(88, 0.0065457621342609835)	(90, 0.007358539694169221)	(92, 0.00870833099901683)	(94, 0.01018874726884969)	(96, 0.011712705193677635)	(98, 0.013584996358466255)	(100, 0.016139440118177858)	(102, 0.01934700870281572)	(104, 0.023091591032392958)	(106, 0.026836173361970195)	(108, 0.030943602816506467)	(110, 0.0360815181059264)	(112, 0.04187255822027259)	(114, 0.04834575092954176)	(116, 0.05613970717366183)	(118, 0.06539956580261638)	(120, 0.07413692457162994)	(122, 0.08508039386039443)	(124, 0.09674955739907698)	(126, 0.10923149849766775)	(128, 0.12370184184103407)	(130, 0.1392897543292742)	(132, 0.1567209302123062)	(134, 0.1757341195601596)	(136, 0.1968953638877705)	(138, 0.21879681635029785)
CAS-55-3_R2_001 - polya	(1, 0.02238041066747325)	(2, 0.032046658076381934)	(3, 0.04060985022541515)	(4, 0.04926012568443853)	(5, 0.05828776215341931)	(6, 0.06598012120255084)	(7, 0.0730628970817512)	(8, 0.08113261714084012)	(9, 0.08775094870009292)	(10, 0.09939108446877874)	(12, 0.11448552486707458)	(14, 0.12690941042567194)	(16, 0.13802704633441676)	(18, 0.15014614030804851)	(20, 0.16252648421165075)	(22, 0.1735134951554103)	(24, 0.18315071479432227)	(26, 0.1929185593982195)	(28, 0.20370237595200202)	(30, 0.21522640064070092)	(32, 0.22482007862461784)	(34, 0.235952228418361)	(36, 0.24490729546234996)	(38, 0.2543993762512783)	(40, 0.2642107625101706)	(42, 0.27413825984904977)	(44, 0.28486402086283885)	(46, 0.29498019870669673)	(48, 0.30521248763054154)	(50, 0.31479165172946)	(52, 0.32374671877344896)	(54, 0.33393546604229873)	(56, 0.3440226161161598)	(58, 0.35352921079008653)	(60, 0.3638195552539248)	(62, 0.37429858022274165)	(64, 0.38473406353656353)	(66, 0.39464704699044434)	(68, 0.40374725288441693)	(70, 0.4119911395634862)	(72, 0.42161384531739976)	(74, 0.4318896758962396)	(76, 0.44358786720491894)	(78, 0.4534863367738014)	(80, 0.4629639036777314)	(82, 0.4731816787165778)	(84, 0.48290598166547993)	(86, 0.49277542346436565)	(88, 0.5036753510981351)	(90, 0.5151122924768439)	(92, 0.5254171508256804)	(94, 0.5362735368044547)	(96, 0.5453156871584339)	(98, 0.5551851289573195)	(100, 0.5659399177411054)	(102, 0.5758383873099878)	(104, 0.5862593567388112)	(106, 0.5970141455225971)	(108, 0.6080882397763469)	(110, 0.618857542445131)	(112, 0.630265456053843)	(114, 0.6402510089327157)	(116, 0.6497866313766392)	(118, 0.6601350313804708)	(120, 0.6721960698141091)	(122, 0.6821090532679899)	(124, 0.6921816894568527)	(126, 0.7022833534157122)	(128, 0.7128639755795176)	(130, 0.7226173062984165)	(132, 0.7325157758672989)	(134, 0.7427916064461388)	(136, 0.7544607699848214)	(138, 0.7648672255286465)
CAS-55-3_R2_001 - polyg	(1, 0.27791186994862377)	(2, 0.2853139512977881)	(3, 0.2886521448474112)	(4, 0.29170006069706705)	(5, 0.29498019870669673)	(6, 0.2983474200263166)	(7, 0.30185978019592)	(8, 0.30482061273558575)	(9, 0.3081007507452154)	(10, 0.31281776336968287)	(12, 0.3192909560789521)	(14, 0.3229919967535342)	(16, 0.32511102396329494)	(18, 0.32638824584315074)	(20, 0.3277380371479984)	(22, 0.32888463406286894)	(24, 0.32974095327777225)	(26, 0.33042310587269524)	(28, 0.3311633140076117)	(30, 0.33149713336257397)	(32, 0.33194706379752315)	(34, 0.3321937998424953)	(36, 0.33251310531245926)	(38, 0.3327743552424298)	(40, 0.3328469246674216)	(42, 0.33297754963240683)	(44, 0.33312268848239046)	(46, 0.33323879956237734)	(48, 0.3333694245273626)	(50, 0.333427480067356)	(52, 0.3334855356073495)	(54, 0.3336306744573331)	(56, 0.33371775776732326)	(58, 0.3337322716523216)	(60, 0.33380484107731345)	(62, 0.33390643827230193)	(64, 0.3339644938122954)	(66, 0.3340080354672905)	(68, 0.3340806048922823)	(70, 0.3342112298572676)	(72, 0.33431282705225607)	(74, 0.3343418548222528)	(76, 0.33435636870725116)	(78, 0.3343708825922495)	(80, 0.33438539647724785)	(82, 0.33447247978723804)	(84, 0.3347047019472118)	(86, 0.3347627574872053)	(88, 0.33496595187718237)	(90, 0.3351401184971627)	(92, 0.3354013684271332)	(94, 0.3355174795071201)	(96, 0.3356916461271004)	(98, 0.3359238682870742)	(100, 0.3360690071370578)	(102, 0.3362576876420365)	(104, 0.33635928483702504)	(106, 0.33644636814701523)	(108, 0.33662053476699555)	(110, 0.3367076180769857)	(112, 0.3368962985819644)	(114, 0.3370849790869431)	(116, 0.33721560405192835)	(118, 0.33725914570692345)	(120, 0.33752039563689396)	(122, 0.33778164556686446)	(124, 0.3380574093818333)	(126, 0.33820254823181695)	(128, 0.3382896315418071)	(130, 0.3385944231267727)	(132, 0.33879761751674975)	(134, 0.3389862980217284)	(136, 0.33932011737669077)	(138, 0.3397265061566449)
CAS-CTRL_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 8.344064727691448e-05)	(9, 8.344064727691448e-05)	(10, 8.344064727691448e-05)	(12, 8.344064727691448e-05)	(14, 0.00016688129455382896)	(16, 0.00016688129455382896)	(18, 0.00016688129455382896)	(20, 0.00016688129455382896)	(22, 0.00019469484364613378)	(24, 0.00019469484364613378)	(26, 0.0002086016181922862)	(28, 0.0002225083927384386)	(30, 0.0003059490400153531)	(32, 0.0003198558145615055)	(34, 0.00037548291274611513)	(36, 0.00044501678547687724)	(38, 0.0005284574327537916)	(40, 0.0006118980800307062)	(42, 0.0007648726000383827)	(44, 0.0008483132473152972)	(46, 0.0008622200218614496)	(48, 0.0009456606691383639)	(50, 0.0010708216400537357)	(52, 0.001279423258246022)	(54, 0.0014045842291613936)	(56, 0.0015297452000767654)	(58, 0.0017383468182690515)	(60, 0.0018356942400921184)	(62, 0.001919134887369033)	(64, 0.0020721094073767096)	(66, 0.0023085245746613005)	(68, 0.0025727532910381967)	(70, 0.0026979142619535683)	(72, 0.0028508887819612442)	(74, 0.00322637169470736)	(76, 0.0036992020292765417)	(78, 0.004144218814753419)	(80, 0.004630955923868753)	(82, 0.005159413356622546)	(84, 0.005757404662107099)	(86, 0.006939480498530054)	(88, 0.00824671730586838)	(90, 0.009998970898683585)	(92, 0.011848571913321854)	(94, 0.013628639055229364)	(96, 0.016117951698990645)	(98, 0.018648984666390388)	(100, 0.022459440892036147)	(102, 0.02611692259767423)	(104, 0.030942573365189116)	(106, 0.036004639299988594)	(108, 0.041303120402072666)	(110, 0.0475472621732951)	(112, 0.05536286946823275)	(114, 0.0639711629123011)	(116, 0.07296884604366172)	(118, 0.0833432998550914)	(120, 0.09559516823025169)	(122, 0.10823642629270423)	(124, 0.12264384472251813)	(126, 0.13891477094151644)	(128, 0.15589494266236853)	(130, 0.1753087999287973)	(132, 0.19680867337714894)	(134, 0.2182807332764083)	(136, 0.24263149550672114)	(138, 0.2677610371116186)
CAS-CTRL_R1_001 - polya	(1, 0.015269638451675348)	(2, 0.022556788313859214)	(3, 0.030149887216058432)	(4, 0.03674169835093467)	(5, 0.04447386499859542)	(6, 0.05145506582076393)	(7, 0.058130317602917085)	(8, 0.06480556938507025)	(9, 0.07109143147993113)	(10, 0.08170230045864543)	(12, 0.0945104398156518)	(14, 0.1060530626889583)	(16, 0.11712285522769562)	(18, 0.1270661990281946)	(20, 0.13835849995967037)	(22, 0.14863560634927697)	(24, 0.15846769595340676)	(26, 0.1675070994084058)	(28, 0.17640743511794338)	(30, 0.1859196689075116)	(32, 0.19548752979526446)	(34, 0.205027577133925)	(36, 0.2147623193162317)	(38, 0.22320373146574624)	(40, 0.23250736363712218)	(42, 0.24114347063028285)	(44, 0.2507113315180357)	(46, 0.26105797178037304)	(48, 0.2711960104245182)	(50, 0.2802493206540634)	(52, 0.28944169862907015)	(54, 0.2996075508223076)	(56, 0.30998200463373726)	(58, 0.3203286448960747)	(60, 0.32984087868564294)	(62, 0.34017361217343417)	(64, 0.3506454134066869)	(66, 0.3600324862253398)	(68, 0.3698645758294696)	(70, 0.37834770830262254)	(72, 0.3878738488667369)	(74, 0.39791454008905897)	(76, 0.40745458742771956)	(78, 0.4174674651009493)	(80, 0.4283147492469481)	(82, 0.43969049082570083)	(84, 0.4500371310880382)	(86, 0.4612042710485986)	(88, 0.4723853177837052)	(90, 0.4831630680569733)	(92, 0.49321766605384143)	(94, 0.5024795779015789)	(96, 0.513159980753024)	(98, 0.525648264295469)	(100, 0.5356472351941525)	(102, 0.5454097909255515)	(104, 0.5556868973151581)	(106, 0.5671043592175493)	(108, 0.5771728639889636)	(110, 0.5866433774548934)	(112, 0.5983250680736614)	(114, 0.6086438947869065)	(116, 0.6190739756965209)	(118, 0.6297821920970581)	(120, 0.6394752139557265)	(122, 0.6511012774763099)	(124, 0.66317235778237)	(126, 0.6743673112920228)	(128, 0.6846861380052679)	(130, 0.6958949982894667)	(132, 0.7073959008391348)	(134, 0.7193000998506413)	(136, 0.7311347649894169)	(138, 0.7409807613680928)
CAS-CTRL_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 5.562709818460965e-05)	(3, 5.562709818460965e-05)	(4, 5.562709818460965e-05)	(5, 5.562709818460965e-05)	(6, 5.562709818460965e-05)	(7, 5.562709818460965e-05)	(8, 5.562709818460965e-05)	(9, 5.562709818460965e-05)	(10, 5.562709818460965e-05)	(12, 5.562709818460965e-05)	(14, 0.00013906774546152412)	(16, 0.00013906774546152412)	(18, 0.00013906774546152412)	(20, 0.00016688129455382896)	(22, 0.00018078806909998136)	(24, 0.0002086016181922862)	(26, 0.0002503219418307434)	(28, 0.00029204226546920067)	(30, 0.0003615761381999627)	(32, 0.0004172032363845724)	(34, 0.0004311100109307248)	(36, 0.00047283033456918197)	(38, 0.0005701777563922489)	(40, 0.0006675251782153157)	(42, 0.0008204996982229924)	(44, 0.000945660669138364)	(46, 0.0010569148655075833)	(48, 0.0011959826109691075)	(50, 0.001418491003707546)	(52, 0.00161318584735368)	(54, 0.001780067141907509)	(56, 0.0019469484364613376)	(58, 0.002225083927384386)	(60, 0.0023224313492074527)	(62, 0.0025449397419458914)	(64, 0.0026979142619535683)	(66, 0.002989956527422769)	(68, 0.0032959055674381217)	(70, 0.0034349733128996463)	(72, 0.00357404105836117)	(74, 0.004005151069291895)	(76, 0.004491888178407229)	(78, 0.0049786252875225635)	(80, 0.005479269171184051)	(82, 0.006077260476668605)	(84, 0.006716972105791615)	(86, 0.007926861491306876)	(88, 0.009248005073191354)	(90, 0.010944631567821949)	(92, 0.012780325807914068)	(94, 0.014588206498913882)	(96, 0.01713314624085977)	(98, 0.019622458884621052)	(100, 0.023516355757543732)	(102, 0.027229464561366424)	(104, 0.032013395005242855)	(106, 0.03700592706731157)	(108, 0.04233222171848794)	(110, 0.04854854994061807)	(112, 0.056266809813732666)	(114, 0.06494463713053177)	(116, 0.07388669316370777)	(118, 0.0841637995533144)	(120, 0.09642957470302083)	(122, 0.10893176502001185)	(124, 0.12317230215527192)	(126, 0.1392207199815318)	(128, 0.15607573073146852)	(130, 0.1751419186342435)	(132, 0.19660007175895666)	(134, 0.21775227584365447)	(136, 0.24164411451394432)	(138, 0.2662312919115418)
CAS-CTRL_R2_001 - polya	(1, 0.02035951793556713)	(2, 0.028202938779597092)	(3, 0.03671388480184237)	(4, 0.04261035720941099)	(5, 0.051733201311686974)	(6, 0.059966011843009204)	(7, 0.06705846686154693)	(8, 0.07473500641102307)	(9, 0.08118774980043779)	(10, 0.09236879653554432)	(12, 0.10612259656168907)	(14, 0.11838837171139549)	(16, 0.12956941844650205)	(18, 0.14136236326163926)	(20, 0.15225136773127662)	(22, 0.16266754186634477)	(24, 0.17255525856865914)	(26, 0.1833469156164734)	(28, 0.19430545395884152)	(30, 0.20427661130843278)	(32, 0.21421995510893177)	(34, 0.22442752762580764)	(36, 0.23432915110266817)	(38, 0.2433268342340288)	(40, 0.2521715428453817)	(42, 0.26059904822035007)	(44, 0.270083468460826)	(46, 0.2796930496722173)	(48, 0.2896781137963548)	(50, 0.2986340766040769)	(52, 0.30803505619727595)	(54, 0.31598973123767515)	(56, 0.32505694824176645)	(58, 0.3343744871876886)	(60, 0.3429410603081185)	(62, 0.35253673474496366)	(64, 0.3618125533672473)	(66, 0.37214528685503856)	(68, 0.38225551195009133)	(70, 0.390794271521429)	(72, 0.4005985475764664)	(74, 0.41009687459148847)	(76, 0.41960910838105675)	(78, 0.4291352489451712)	(80, 0.438522321763824)	(82, 0.4482709707206769)	(84, 0.45803352645207585)	(86, 0.4680603108998518)	(88, 0.4773778498457739)	(90, 0.48669538879169594)	(92, 0.49597120741397965)	(94, 0.5062205002544939)	(96, 0.5153016240331315)	(98, 0.523923824251746)	(100, 0.533505591914045)	(102, 0.5434628424890902)	(104, 0.553670415005966)	(106, 0.5642256568864957)	(108, 0.5742663481088177)	(110, 0.5844739206256936)	(112, 0.5950291625062233)	(114, 0.6045553030703377)	(116, 0.6131357829653137)	(118, 0.6225228557839666)	(120, 0.6317986744062503)	(122, 0.6422565688649569)	(124, 0.652297260087279)	(126, 0.6614061974150087)	(128, 0.6712521937936846)	(130, 0.6810286562996297)	(132, 0.6914170168856056)	(134, 0.7030430804061891)	(136, 0.713806923904911)	(138, 0.724570767403633)
CAS-CTRL_R2_001 - polyg	(1, 0.21516561577807014)	(2, 0.22006080041831577)	(3, 0.22270308758208474)	(4, 0.2254010018440383)	(5, 0.22740357737868425)	(6, 0.22921145806968407)	(7, 0.23099152521159158)	(8, 0.23335567688443748)	(9, 0.2357198285572834)	(10, 0.239335589939283)	(12, 0.24470360491409787)	(14, 0.24727635820513605)	(16, 0.24847234081610514)	(18, 0.24952925568161274)	(20, 0.25060007732166645)	(22, 0.25133713637261257)	(24, 0.2523245173653894)	(26, 0.25286688157268933)	(28, 0.2531032967399739)	(30, 0.25338143223089693)	(32, 0.2536734744963662)	(34, 0.2540072370854738)	(36, 0.25411849128184305)	(38, 0.25425755902730457)	(40, 0.25441053354731225)	(42, 0.2544661606454969)	(44, 0.2545356945182276)	(46, 0.25466085548914297)	(48, 0.25470257581278144)	(50, 0.25484164355824296)	(52, 0.2549807113037045)	(54, 0.2550641519509814)	(56, 0.25513368582371215)	(58, 0.25521712647098904)	(60, 0.2553701009909968)	(62, 0.2554674484128198)	(64, 0.25553698228555055)	(66, 0.2555508890600967)	(68, 0.255578702609189)	(70, 0.25563432970737365)	(72, 0.2556482364819198)	(74, 0.2557177703546506)	(76, 0.25577339745283517)	(78, 0.25581511777647364)	(80, 0.25585683810011206)	(82, 0.255940278747389)	(84, 0.25602371939466595)	(86, 0.2561627871401274)	(88, 0.25628794811104283)	(90, 0.2564409226310505)	(92, 0.2565938971510582)	(94, 0.25674687167106586)	(96, 0.25685812586743506)	(98, 0.2569554732892581)	(100, 0.2570528207110812)	(102, 0.25712235458381194)	(104, 0.25715016813290426)	(106, 0.2572753291038196)	(108, 0.2573170494274581)	(110, 0.25753955782019655)	(112, 0.25760909169292734)	(114, 0.2577203458892965)	(116, 0.25791504073294264)	(118, 0.2582070829984119)	(120, 0.25841568461660414)	(122, 0.25852693881297334)	(124, 0.25870772688207333)	(126, 0.25902758269663484)	(128, 0.2593057181875579)	(130, 0.25944478593301945)	(132, 0.2597229214239425)	(134, 0.2600010569148655)	(136, 0.26027919240578856)	(138, 0.26066858209308086)
STC-55-1_R1_001 - illumina_universal_adapter	(1, 3.0992567982197866e-05)	(2, 3.0992567982197866e-05)	(3, 3.0992567982197866e-05)	(4, 3.0992567982197866e-05)	(5, 6.198513596439573e-05)	(6, 6.198513596439573e-05)	(7, 6.198513596439573e-05)	(8, 6.198513596439573e-05)	(9, 9.29777039465936e-05)	(10, 0.00010847398793769253)	(12, 0.00012397027192879146)	(14, 0.00012397027192879146)	(16, 0.00017045912390208827)	(18, 0.0002479405438575829)	(20, 0.0002789331118397808)	(22, 0.00035641453179527545)	(24, 0.00043389595175077016)	(26, 0.0004493922357418691)	(28, 0.00046488851973296803)	(30, 0.0005578662236795616)	(32, 0.0005888587916617595)	(34, 0.0006508439276261553)	(36, 0.0008522956195104414)	(38, 0.0008987844714837382)	(40, 0.000991762175430332)	(42, 0.0011622212993324201)	(44, 0.0012706952872701127)	(46, 0.001425658127181102)	(48, 0.0015806209670920913)	(50, 0.001658102387047586)	(52, 0.0018130652269585752)	(54, 0.0019060429309051689)	(56, 0.0020145169188428617)	(58, 0.0022159686107271477)	(60, 0.0024484128705936315)	(62, 0.002634368278486819)	(64, 0.002804827402388907)	(66, 0.003099256798219787)	(68, 0.0034246787620328643)	(70, 0.003750100725845942)	(72, 0.003967048701721328)	(74, 0.0041375078256234155)	(76, 0.0044474335054453945)	(78, 0.004974307161142758)	(80, 0.005578662236795616)	(82, 0.0061365284604751776)	(84, 0.0070353129319589165)	(86, 0.008058067675371445)	(88, 0.009034333566810679)	(90, 0.00988662918632112)	(92, 0.011312287313502221)	(94, 0.012691456588710027)	(96, 0.014163603567864426)	(98, 0.015945676226840802)	(100, 0.01830111139348784)	(102, 0.021477849611663123)	(104, 0.025041994929615875)	(106, 0.029690880126945558)	(108, 0.034587705868132826)	(110, 0.04049179006874151)	(112, 0.046845266505092076)	(114, 0.054732875056561436)	(116, 0.06291491300386168)	(118, 0.07229016481847653)	(120, 0.08240923826466413)	(122, 0.09463580633364119)	(124, 0.10841200280172815)	(126, 0.12448164930049774)	(128, 0.14000892585957886)	(130, 0.1574422453495652)	(132, 0.17713802230225192)	(134, 0.19861587191391505)	(136, 0.2223096901363053)	(138, 0.24614297491461545)
STC-55-1_R1_001 - polya	(1, 0.017665763749852785)	(2, 0.02541390574540225)	(3, 0.03381289166857788)	(4, 0.04140607082421635)	(5, 0.049650093907480986)	(6, 0.05777014671881683)	(7, 0.0653323333064731)	(8, 0.0743201780213105)	(9, 0.08175839433703798)	(10, 0.09187746778322559)	(12, 0.10532824228749946)	(14, 0.11676449987293047)	(16, 0.12703853615902908)	(18, 0.13796341637275383)	(20, 0.14926020740226492)	(22, 0.16001462849208758)	(24, 0.16949835429464014)	(26, 0.17989636085266753)	(28, 0.1917975069578315)	(30, 0.20394659360685308)	(32, 0.21504193294447993)	(34, 0.22486657699483664)	(36, 0.2356055018006682)	(38, 0.24611198234663328)	(40, 0.25571967842111465)	(42, 0.26580775929932)	(44, 0.27676363208102694)	(46, 0.2880759193945292)	(48, 0.3006124131433282)	(50, 0.31186271532086607)	(52, 0.32272561039862646)	(54, 0.33214735106521454)	(56, 0.3433201718227969)	(58, 0.3536871858128421)	(60, 0.3634343484432433)	(62, 0.37420426581705707)	(64, 0.385779989958408)	(66, 0.39627097422038193)	(68, 0.4060646257027565)	(70, 0.4165091211127572)	(72, 0.4281778229580547)	(74, 0.4391027031717794)	(76, 0.45053896075721045)	(78, 0.46075101190734463)	(80, 0.4708081002175678)	(82, 0.4834995568062779)	(84, 0.49617551711099683)	(86, 0.5069454344848106)	(88, 0.5194199430976452)	(90, 0.531445059474738)	(92, 0.541936043736712)	(94, 0.5524270279986859)	(96, 0.5634603822003483)	(98, 0.5759658833811652)	(100, 0.5869682450148455)	(102, 0.5981565620564189)	(104, 0.6107705372251734)	(106, 0.6247791779531269)	(108, 0.6365408575023709)	(110, 0.6491393363871344)	(112, 0.6610559787762894)	(114, 0.6714849779022991)	(116, 0.6810616814087982)	(118, 0.6932882494777752)	(120, 0.7055303138307434)	(122, 0.7166566457363523)	(124, 0.7279069479138902)	(126, 0.7398700791550186)	(128, 0.7521431360759689)	(130, 0.7649120740846345)	(132, 0.7766117684979142)	(134, 0.7903879649660012)	(136, 0.8035907989264175)	(138, 0.8154144636116258)
STC-55-1_R2_001 - illumina_universal_adapter	(1, 3.0992567982197866e-05)	(2, 3.0992567982197866e-05)	(3, 3.0992567982197866e-05)	(4, 3.0992567982197866e-05)	(5, 3.0992567982197866e-05)	(6, 3.0992567982197866e-05)	(7, 3.0992567982197866e-05)	(8, 3.0992567982197866e-05)	(9, 3.0992567982197866e-05)	(10, 4.6488851973296795e-05)	(12, 9.29777039465936e-05)	(14, 9.29777039465936e-05)	(16, 0.0001394665559198904)	(18, 0.00021694797587538505)	(20, 0.0002634368278486819)	(22, 0.0003719108157863744)	(24, 0.0004493922357418691)	(26, 0.00048038480372406694)	(28, 0.0004958810877151659)	(30, 0.0005578662236795616)	(32, 0.0005578662236795616)	(34, 0.0006353476436350564)	(36, 0.0008677919035015403)	(38, 0.0008987844714837382)	(40, 0.0010537473113947276)	(42, 0.0012087101513057169)	(44, 0.0013171841392434094)	(46, 0.0015031395471365966)	(48, 0.0015496283991098935)	(50, 0.0015651246831009924)	(52, 0.0017355838070030809)	(54, 0.0019215392148962678)	(56, 0.0021694797587538507)	(58, 0.002386427734629236)	(60, 0.002603375710504621)	(62, 0.0028203236863800062)	(64, 0.003006279094273193)	(66, 0.0032697159221218752)	(68, 0.0036416267379082495)	(70, 0.003982544985712426)	(72, 0.00421498924557891)	(74, 0.0044474335054453945)	(76, 0.004726366617285175)	(78, 0.005206751421009242)	(80, 0.005904084200608693)	(82, 0.0065394318442437505)	(84, 0.0074382163157274885)	(86, 0.008538452479095513)	(88, 0.009654184926454637)	(90, 0.01047548797798288)	(92, 0.011885649821172881)	(94, 0.013357796800327282)	(96, 0.014891928915446075)	(98, 0.01670499414240465)	(100, 0.019013940457078393)	(102, 0.022035715835342685)	(104, 0.025553372301322142)	(106, 0.03024874635062512)	(108, 0.03503709810387469)	(110, 0.04101866372443888)	(112, 0.047310155024825044)	(114, 0.0551977635762944)	(116, 0.06331781638763025)	(118, 0.0726465793502718)	(120, 0.08273466022847721)	(122, 0.09493023572947207)	(124, 0.10827253624580825)	(126, 0.12407874591672917)	(128, 0.139559533623837)	(130, 0.15655895716207252)	(132, 0.17594480843493732)	(134, 0.1966633401310366)	(136, 0.21981478841373836)	(138, 0.2429197478444669)
