Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
STC-55-3_R1_001	(1.0, 49.326624879559375)	(2.0, 22.064159090428554)	(3.0, 9.661385764983784)	(4.0, 4.382483926479724)	(5.0, 2.172559834666854)	(6.0, 1.210632239039076)	(7.0, 0.8426700689845789)	(8.0, 0.6589416875611477)	(9.0, 0.6969436281893118)	('>10', 8.973570860420912)	('>50', 0.010028019686674145)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
STC-55-3_R2_001	(1.0, 52.029511882167576)	(2.0, 21.323246611804766)	(3.0, 9.32475408182582)	(4.0, 4.083885299423087)	(5.0, 1.929750237071818)	(6.0, 1.0865049814803371)	(7.0, 0.8405895217872048)	(8.0, 0.7461668281806436)	(9.0, 0.6765047379012857)	('>10', 7.81336572459813)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.14572009375932019)	('>5k', 0.0)	('>10k+', 0.0)
STC-CTRL_R1_001	(1.0, 40.05391686453246)	(2.0, 21.807249114443714)	(3.0, 11.30404007275154)	(4.0, 5.563611596083488)	(5.0, 2.787355982388635)	(6.0, 1.51910897129758)	(7.0, 0.8170989555837372)	(8.0, 0.5275973907209515)	(9.0, 0.39187021382408765)	('>10', 14.497807335479493)	('>50', 0.7257787260600309)	('>100', 0.004564776834334666)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
STC-CTRL_R2_001	(1.0, 43.53400976754306)	(2.0, 21.22328563334088)	(3.0, 10.583967914452387)	(4.0, 5.313422210129121)	(5.0, 2.5436188569768428)	(6.0, 1.3325634587255422)	(7.0, 0.7377304788768118)	(8.0, 0.48948725392224973)	(9.0, 0.37391469091728946)	('>10', 13.318323476450528)	('>50', 0.37725784271667057)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.17241841594860008)	('>5k', 0.0)	('>10k+', 0.0)
WT-37-55-1_R1_001	(1.0, 44.33043181310945)	(2.0, 22.167638180655292)	(3.0, 10.971732704838884)	(4.0, 5.371291762562271)	(5.0, 2.773725309538237)	(6.0, 1.4525526901521577)	(7.0, 0.9710628816982431)	(8.0, 0.7077114384451274)	(9.0, 0.6022570368826987)	('>10', 10.607086716918754)	('>50', 0.04450946519887296)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WT-37-55-1_R2_001	(1.0, 48.885171954579896)	(2.0, 21.117319630569803)	(3.0, 10.028727812404165)	(4.0, 4.771708488228613)	(5.0, 2.327201988644221)	(6.0, 1.3010316846076542)	(7.0, 0.9030364480294109)	(8.0, 0.6579015396510058)	(9.0, 0.556152096340863)	('>10', 9.213177880821046)	('>50', 0.028577899658323243)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.20999257646498823)	('>5k', 0.0)	('>10k+', 0.0)
WT-37-55-2_R1_001	(1.0, 42.68225649339276)	(2.0, 21.73654461466163)	(3.0, 11.202045440821585)	(4.0, 5.676698310217647)	(5.0, 2.9374447572026106)	(6.0, 1.6271608922376068)	(7.0, 0.9763737953705826)	(8.0, 0.6679318232701508)	(9.0, 0.5468304991835196)	('>10', 11.799602666249713)	('>50', 0.14711070739218596)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WT-37-55-2_R2_001	(1.0, 48.723476401778136)	(2.0, 20.357309677620655)	(3.0, 10.038204043636451)	(4.0, 4.9127076170103)	(5.0, 2.493139636896525)	(6.0, 1.364445161073767)	(7.0, 0.7746720958914484)	(8.0, 0.5980004520415467)	(9.0, 0.5047875528174094)	('>10', 9.891461032101038)	('>50', 0.04998593198246715)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.29181039715028356)	('>10k+', 0.0)
WT-37-55-3_R1_001	(1.0, 43.30981121842971)	(2.0, 21.413026854890983)	(3.0, 10.805675534538157)	(4.0, 5.444742782927337)	(5.0, 3.0311151161248953)	(6.0, 1.842006896340001)	(7.0, 1.2398197130705826)	(8.0, 0.9574373308066925)	(9.0, 0.7861351007450612)	('>10', 11.092849275875171)	('>50', 0.07738017625137404)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WT-37-55-3_R2_001	(1.0, 46.91624706649061)	(2.0, 20.70040696005215)	(3.0, 10.290896780291645)	(4.0, 4.982672680235054)	(5.0, 2.7698006270506865)	(6.0, 1.6753006797776773)	(7.0, 1.1014091798854484)	(8.0, 0.8723504100104685)	(9.0, 0.7070396385349004)	('>10', 9.760271758267132)	('>50', 0.026814928290933383)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.1967892911133107)	('>5k', 0.0)	('>10k+', 0.0)
WT-CTRL_R1_001	(1.0, 46.49963542294544)	(2.0, 21.03195349911693)	(3.0, 9.636520744016368)	(4.0, 4.512035315659329)	(5.0, 2.2177626885763337)	(6.0, 1.2525360810811614)	(7.0, 0.7389548556144357)	(8.0, 0.48636949237614685)	(9.0, 0.3986071517961394)	('>10', 13.058185906728955)	('>50', 0.16743884208875226)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WT-CTRL_R2_001	(1.0, 58.67602669327835)	(2.0, 16.996407137550793)	(3.0, 7.355218328616145)	(4.0, 3.217448203860581)	(5.0, 1.5700262853378488)	(6.0, 0.9316161852446216)	(7.0, 0.5488952505951865)	(8.0, 0.418021670116691)	(9.0, 0.3603505789879927)	('>10', 9.143679725755648)	('>50', 0.08491781760418035)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.07535298839920479)	('>5k', 0.0)	('>10k+', 0.6220391346527837)
WTA-55-1_R1_001	(1.0, 43.886031566233626)	(2.0, 20.878759429611048)	(3.0, 10.151964985457006)	(4.0, 5.05940125822078)	(5.0, 2.6483550773849593)	(6.0, 1.5676098882158422)	(7.0, 0.9282565166363098)	(8.0, 0.728266918356937)	(9.0, 0.5486047309472742)	('>10', 13.318339896078657)	('>50', 0.27960185888524275)	('>100', 0.004807873972308194)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WTA-55-1_R2_001	(1.0, 51.29994159836448)	(2.0, 18.975048889632948)	(3.0, 9.037543474626872)	(4.0, 4.195992877288131)	(5.0, 2.071465544209062)	(6.0, 1.2335522326755808)	(7.0, 0.8086100211102513)	(8.0, 0.6183696608844931)	(9.0, 0.4857059667333867)	('>10', 10.883134993580175)	('>50', 0.11585093076577413)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.27478381012889436)	('>10k+', 0.0)
WTA-55-2_R1_001	(1.0, 43.944994385105794)	(2.0, 21.52391212353282)	(3.0, 10.478183086006945)	(4.0, 5.1194414876336145)	(5.0, 2.585559046312605)	(6.0, 1.3534537519967353)	(7.0, 0.8135328925884184)	(8.0, 0.5477545471540481)	(9.0, 0.4763780187554211)	('>10', 12.969406672984277)	('>50', 0.18738398792932542)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WTA-55-2_R2_001	(1.0, 47.21628395799789)	(2.0, 20.890251984242532)	(3.0, 9.955304983390823)	(4.0, 4.7420383144391955)	(5.0, 2.291811933451124)	(6.0, 1.2080672046089522)	(7.0, 0.7541627498223862)	(8.0, 0.4895047713872589)	(9.0, 0.4732083675263901)	('>10', 11.679889636227266)	('>50', 0.11094671374711615)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.1885293831590575)	('>5k', 0.0)	('>10k+', 0.0)
WTA-55-3_R1_001	(1.0, 41.75925874266898)	(2.0, 21.855579395894097)	(3.0, 11.159821766399299)	(4.0, 5.606696961067181)	(5.0, 2.7535171988719704)	(6.0, 1.483738658048645)	(7.0, 0.8745346595054583)	(8.0, 0.564146908302555)	(9.0, 0.4398386549415138)	('>10', 13.175959110494745)	('>50', 0.32690794380556254)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WTA-55-3_R2_001	(1.0, 43.922173818421236)	(2.0, 21.695765433979037)	(3.0, 10.66622135771167)	(4.0, 5.290271306964868)	(5.0, 2.6881257748598126)	(6.0, 1.3975051175032616)	(7.0, 0.8149517778666312)	(8.0, 0.532222969369611)	(9.0, 0.3918535893949175)	('>10', 12.253012494461329)	('>50', 0.2188029206787719)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.12909343878882013)	('>5k', 0.0)	('>10k+', 0.0)
