#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000302.1	1	2264	1248	2264	100	75.0296	39.1	55.8
JRIU01000301.1	1	557	568	557	100	129.673	39.1	58.2
JRIU01000300.1	1	272	114	272	100	55.5331	39.2	59.7
JRIU01000299.1	1	260	144	260	100	71.7038	39.1	57.8
JRIU01000298.1	1	896	589	896	100	77.683	39.1	53.9
JRIU01000297.1	1	3237	2442	3237	100	109.546	39.1	59.6
JRIU01000296.1	1	312	260	312	100	93.3526	39.2	58.6
JRIU01000295.1	1	1382	714	1382	100	72.6245	39.1	59.5
JRIU01000294.1	1	338	150	338	100	57.9467	39	59.6
JRIU01000293.1	1	449	223	449	100	67.6503	39.1	59.3
JRIU01000292.1	1	2913	1833	2913	100	89.2211	39	59.8
JRIU01000291.1	1	214	247	214	100	111.033	39.1	59.8
JRIU01000290.1	1	225	123	225	100	62.64	39.2	60
JRIU01000289.1	1	219	110	219	100	58.4749	38.7	58
JRIU01000288.1	1	2257	1263	2257	100	79.7404	39.1	58.6
JRIU01000287.1	1	331	141	331	100	55.3233	38.9	59.3
JRIU01000286.1	1	1314	675	1314	100	71.4597	38.9	58.1
JRIU01000285.1	1	278	178	278	100	69.9748	39.2	57.6
JRIU01000284.1	1	5502	2905	5502	100	76.8132	39.2	59.7
JRIU01000283.1	1	981	2454	981	100	254.866	39.1	48.2
JRIU01000282.1	1	251	266	251	100	110.171	39.1	60
JRIU01000281.1	1	302	1276	302	100	447.113	39.1	59.9
JRIU01000280.1	1	226	387	226	100	184.748	39.2	35.6
JRIU01000279.1	1	229	225	229	100	91.3231	38.8	48.3
JRIU01000278.1	1	387	210	387	100	70.7132	39	58.8
JRIU01000277.1	1	212	1499	212	100	655.448	39.4	59.5
JRIU01000276.1	1	300	382	300	100	109.157	39	52.5
JRIU01000275.1	1	210	506	210	100	264.871	39	48.2
JRIU01000274.1	1	247	1852	247	100	628.308	39.3	59.7
JRIU01000273.1	1	252	262	252	100	118.956	39.2	59.5
JRIU01000272.1	1	6186	3507	6186	100	81.9998	39.1	59.4
JRIU01000271.1	1	342	169	342	100	62.3216	38.9	58.6
JRIU01000270.1	1	251	220	251	100	91.6773	39	60
JRIU01000269.1	1	262	415	262	100	141.775	39.2	47.7
JRIU01000268.1	1	257	158	257	100	79.572	39.2	59.1
JRIU01000267.1	1	421	473	421	100	132.093	39.1	59.9
JRIU01000266.1	1	724	309	724	100	59.8757	39	58.8
JRIU01000265.1	1	16337	3676	16337	100	32.9639	39.1	59.9
JRIU01000264.1	1	2795	616	2795	100	31.8834	39	59.4
JRIU01000263.1	1	1415	468	1402	99.0813	48.2827	39.1	41.1
JRIU01000262.1	1	3968	872	3964	99.8992	31.224	39.1	20.1
JRIU01000261.1	1	322	131	322	100	40.2702	39.1	43.9
JRIU01000260.1	1	1073	2137	1073	100	262.485	38.9	51.6
JRIU01000259.1	1	39731	9473	39731	100	35.0582	39.1	59.8
JRIU01000258.1	1	2557	6425	2399	93.8209	339.916	38.9	56.8
JRIU01000257.1	1	3663	902	3663	100	36.1542	39.2	60
JRIU01000256.1	1	1724	264	1706	98.9559	22.1595	39	38
JRIU01000255.1	1	68639	17327	68626	99.9811	37.2416	39.1	59.3
JRIU01000254.1	1	4950	6425	3354	67.7576	173.966	38.7	49.2
JRIU01000253.1	1	162921	39395	162404	99.6827	35.6461	39.1	59.9
JRIU01000252.1	1	102309	24107	102078	99.7742	34.3349	39.1	59
JRIU01000251.1	1	3620	875	3620	100	35.2923	39.1	60
JRIU01000250.1	1	1881	566	1881	100	42.151	39.2	53.9
JRIU01000249.1	1	103684	26150	103308	99.6374	36.9796	39.1	59.5
JRIU01000248.1	1	240	48	240	100	23.7542	39.1	49.8
JRIU01000247.1	1	126718	31344	126184	99.5786	35.9734	39.1	59.1
JRIU01000246.1	1	38089	9265	38089	100	35.7706	39.1	59.6
JRIU01000245.1	1	336	105	336	100	36.8512	39.1	45.5
JRIU01000244.1	1	40110	10199	40110	100	37.4625	39.1	59.9
JRIU01000243.1	1	9473	4242	9130	96.3792	53.473	39.1	51.1
JRIU01000242.1	1	26286	5623	26279	99.9734	31.513	39.1	54.4
JRIU01000241.1	1	252	1007	252	100	199.004	39.1	46.2
JRIU01000240.1	1	61119	15546	60968	99.7529	37.041	39.1	56.9
JRIU01000239.1	1	215	252	215	100	107.791	39.2	58.2
JRIU01000238.1	1	3011	912	3008	99.9004	44.0369	39	10.1
JRIU01000237.1	1	25567	6349	25407	99.3742	36.594	39.1	57
JRIU01000236.1	1	264	71	264	100	32.8864	39.2	51
JRIU01000235.1	1	74472	18107	74067	99.4562	35.6967	39.1	59.7
JRIU01000234.1	1	791	218	604	76.359	34.9785	39	59.1
JRIU01000233.1	1	5473	1386	5473	100	36.9212	39.1	59.2
JRIU01000232.1	1	3434	1159	3427	99.7962	49.2006	39.1	33.5
JRIU01000231.1	1	272	326	272	100	99.8787	38.3	32.2
JRIU01000230.1	1	162216	36871	162145	99.9562	33.4499	39.1	59.9
JRIU01000229.1	1	15387	3395	15383	99.974	32.4053	39.1	57.2
JRIU01000228.1	1	58506	14590	58111	99.3249	35.7676	39.1	58.1
JRIU01000227.1	1	161315	39444	161142	99.8928	35.9657	39.1	59.8
JRIU01000226.1	1	4264	3614	2552	59.8499	110.624	38.6	50.9
JRIU01000225.1	1	37117	9655	37117	100	38.3312	39.1	60
JRIU01000224.1	1	369	81	369	100	27	39	46.3
JRIU01000223.1	1	1779	1059	1743	97.9764	66.1433	39.1	34.2
JRIU01000222.1	1	66247	15613	66247	100	34.6786	39.1	59.9
JRIU01000221.1	1	59649	13455	59630	99.9681	33.2175	39.1	59.6
JRIU01000220.1	1	74430	19036	74430	100	37.4736	39.1	59.8
JRIU01000219.1	1	68300	15958	68300	100	34.393	39.1	59.9
JRIU01000218.1	1	251	69	251	100	34.7849	39.2	54.8
JRIU01000217.1	1	38622	9064	38611	99.9715	34.6128	39.1	58.2
JRIU01000216.1	1	85747	21766	84988	99.1148	34.8216	39.1	59.8
JRIU01000215.1	1	40602	11710	40517	99.7907	40.0239	39.1	57.8
JRIU01000214.1	1	1586	1556	1005	63.367	128.434	38.8	57
JRIU01000213.1	1	100299	24644	100184	99.8853	35.996	39.1	59.5
JRIU01000212.1	1	97056	24172	96975	99.9165	36.2774	39.1	58.4
JRIU01000211.1	1	253	100	253	100	40.8696	38.8	46.4
JRIU01000210.1	1	26756	6130	26751	99.9813	33.6753	39.1	57.8
JRIU01000209.1	1	377	191	377	100	65.6419	39.2	59.6
JRIU01000208.1	1	46428	11573	46425	99.9935	36.6788	39.1	59.8
JRIU01000207.1	1	6441	1365	6413	99.5653	30.6271	39.1	52.6
JRIU01000206.1	1	321	268	321	100	95.5981	39	58.4
JRIU01000205.1	1	54996	8981	54565	99.2163	23.928	39	9.96
JRIU01000204.1	1	236	80	236	100	39.1186	39	41.8
JRIU01000203.1	1	30927	7741	30602	98.9491	36.6361	39.1	59.7
JRIU01000202.1	1	18939	4794	18756	99.0337	34.2991	39.1	57.9
JRIU01000201.1	1	241589	59339	240988	99.7512	36.0809	39.1	59.3
JRIU01000200.1	1	18433	4412	17973	97.5045	34.9864	39.1	59.8
JRIU01000199.1	1	103298	26956	102932	99.6457	38.1795	39.1	59
JRIU01000198.1	1	283	179	283	100	70.0106	39.3	59.8
JRIU01000197.1	1	211	556	211	100	237.493	38.9	36.5
JRIU01000196.1	1	1537	407	1206	78.4645	30.0982	39	42.9
JRIU01000195.1	1	17280	4064	17262	99.8958	34.7101	39.2	59
JRIU01000194.1	1	3526	752	3526	100	30.8142	39.1	58.7
JRIU01000193.1	1	2184	481	2084	95.4212	30.4689	39	57.4
JRIU01000192.1	1	114136	28130	114136	100	35.7568	39.1	59.4
JRIU01000191.1	1	172874	40879	172571	99.8247	34.5952	39.1	59.5
JRIU01000190.1	1	235	160	235	100	52.5447	38.7	34.5
JRIU01000189.1	1	9852	2517	9852	100	36.4782	39.1	58.1
JRIU01000188.1	1	93523	21121	93453	99.9252	33.1526	39.1	59.9
JRIU01000187.1	1	24915	8801	24746	99.3217	48.3351	39.1	46.8
JRIU01000186.1	1	75952	18348	75871	99.8934	35.3383	39.1	59.6
JRIU01000185.1	1	11680	3871	11680	100	47.2416	39.1	57.7
JRIU01000184.1	1	35488	8230	35459	99.9183	34.1548	39.1	57.6
JRIU01000183.1	1	110511	28060	109810	99.3657	36.8514	39.1	58
JRIU01000182.1	1	210	45	210	100	24.7286	39.1	49.9
JRIU01000181.1	1	230	748	230	100	303.461	39.1	41.4
JRIU01000180.1	1	8210	11082	4779	58.2095	180.617	38.8	58.7
JRIU01000179.1	1	4041	1141	4039	99.9505	41.4432	39	9.29
JRIU01000178.1	1	15028	3764	15001	99.8203	36.5527	39.1	58.7
JRIU01000177.1	1	76725	19235	76354	99.5165	36.8804	39.1	59.8
JRIU01000176.1	1	126538	30875	126245	99.7684	35.8226	39.1	59.8
JRIU01000175.1	1	3459	1984	3392	98.063	74.3189	39.1	49
JRIU01000174.1	1	337	149	337	100	59.5015	39.1	59.9
JRIU01000173.1	1	346	93	346	100	32.2225	39.3	50.1
JRIU01000172.1	1	531	734	380	71.5631	129.119	38.7	20.8
JRIU01000171.1	1	269	429	269	100	174.833	39	31.1
JRIU01000170.1	1	20198	4775	20030	99.1682	34.7272	39.1	59.8
JRIU01000169.1	1	19962	4693	19944	99.9098	34.6339	39.1	58.5
JRIU01000168.1	1	985	2021	697	70.7614	181.923	39	35.9
JRIU01000167.1	1	37245	9372	36911	99.1032	36.6583	39.1	59.4
JRIU01000166.1	1	20288	6074	19838	97.7819	37.1571	39.1	52.2
JRIU01000165.1	1	291	67	291	100	28.3505	39	36.5
JRIU01000164.1	1	133823	34643	133689	99.8999	38.0465	39.1	59.8
JRIU01000163.1	1	103880	22975	103666	99.794	32.4992	39.1	59.1
JRIU01000162.1	1	4815	1847	4804	99.7715	55.9682	39.2	42.8
JRIU01000161.1	1	3344	1026	3249	97.1591	42.2817	39.1	52.6
JRIU01000160.1	1	1049	681	775	73.8799	60.0219	38.9	56.2
JRIU01000159.1	1	1845	320	1786	96.8022	25.4916	38.9	16.8
JRIU01000158.1	1	117423	30456	117260	99.8612	37.1587	39.1	59.8
JRIU01000157.1	1	307	265	307	100	108.072	39.1	34.8
JRIU01000156.1	1	11105	2794	10893	98.091	36.3557	39	59.4
JRIU01000155.1	1	23523	5048	23495	99.881	31.6007	39.1	58.4
JRIU01000154.1	1	193654	47421	193570	99.9566	36.0294	39.1	59.8
JRIU01000153.1	1	4096	884	4096	100	31.0391	39.1	59.1
JRIU01000152.1	1	4818	1280	4818	100	38.4822	39	58.7
JRIU01000151.1	1	6540	4282	6482	99.1131	81.9873	39.1	29.7
JRIU01000150.1	1	612	172	587	95.915	26.6814	38.9	47.8
JRIU01000149.1	1	23978	6042	23974	99.9833	37.0959	39.1	58.5
JRIU01000148.1	1	14492	3106	14492	100	31.4685	39.1	57.2
JRIU01000147.1	1	40134	9066	40134	100	33.291	39.1	59.5
JRIU01000146.1	1	16573	3784	16573	100	33.6862	39.1	59.9
JRIU01000145.1	1	36783	9329	36267	98.5972	37.3158	39.1	59.8
JRIU01000144.1	1	32124	8063	32078	99.8568	35.5475	39.1	58.7
JRIU01000143.1	1	1433	304	1414	98.6741	31.2184	39	23.5
JRIU01000142.1	1	68880	19960	68858	99.9681	41.9948	39.1	58.4
JRIU01000141.1	1	71009	16712	70958	99.9282	34.5654	39.1	58.5
JRIU01000140.1	1	34873	8545	34833	99.8853	36.0237	39.1	59.9
JRIU01000139.1	1	270	263	248	91.8519	71.3667	39	59.6
JRIU01000138.1	1	49460	12081	49440	99.9596	35.6841	39.1	59.3
JRIU01000137.1	1	124619	26934	124378	99.8066	31.6803	39.1	43
JRIU01000136.1	1	10620	2358	10575	99.5763	29.8125	39.1	49.4
JRIU01000135.1	1	68146	15971	68146	100	34.5243	39.1	59.3
JRIU01000134.1	1	2850	4568	1837	64.4561	201.619	38.8	54.9
JRIU01000133.1	1	336272	85572	335803	99.8605	37.3814	39.1	59.7
JRIU01000132.1	1	36633	8024	36417	99.4104	32.1631	39.1	59.7
JRIU01000131.1	1	70561	15474	70415	99.7931	32.2607	39.1	59.4
JRIU01000130.1	1	434	522	388	89.4009	72.4447	38.2	21.8
JRIU01000129.1	1	20041	4884	20041	100	35.8572	39.1	59.7
JRIU01000128.1	1	4176	982	4171	99.8803	33.767	39	21.9
JRIU01000127.1	1	24131	5655	24109	99.9088	34.3914	39.1	59.7
JRIU01000126.1	1	133998	30887	133882	99.9134	33.8229	39.1	59.5
JRIU01000125.1	1	43186	11452	42937	99.4234	36.5836	39.1	53.3
JRIU01000124.1	1	23266	5820	23049	99.0673	35.6717	39.1	58.5
JRIU01000123.1	1	117283	29231	117161	99.896	36.2725	39.1	59
JRIU01000122.1	1	140950	35081	140912	99.973	36.567	39.1	59.5
JRIU01000121.1	1	59584	14092	59563	99.9648	34.8756	39.1	59.9
JRIU01000120.1	1	9674	2567	9668	99.938	38.6661	39	37.3
JRIU01000119.1	1	385	209	339	88.0519	37.0104	39.1	49.4
JRIU01000118.1	1	1687	286	1687	100	24.4197	38.9	60
JRIU01000117.1	1	211	226	211	100	95.91	39.2	59.1
JRIU01000116.1	1	59626	16744	59323	99.4918	37.2767	39.1	55.1
JRIU01000115.1	1	16715	4326	16633	99.5094	37.549	39.1	52.1
JRIU01000114.1	1	306	933	306	100	232.546	38.7	36.9
JRIU01000113.1	1	306	606	306	100	201.931	38.9	28.1
JRIU01000112.1	1	7027	1597	7017	99.8577	33.4615	39.1	57
JRIU01000111.1	1	263	99	263	100	43.6844	39.1	58.9
JRIU01000110.1	1	6782	2652	6770	99.8231	57.5467	39	21.3
JRIU01000109.1	1	10760	2824	10621	98.7082	35.7895	39.1	54.8
JRIU01000108.1	1	29787	7163	29749	99.8724	35.4006	39.1	59
JRIU01000107.1	1	409	572	314	76.7726	83.8166	37.9	14.8
JRIU01000106.1	1	755	265	621	82.2517	43.7325	38.9	52.1
JRIU01000105.1	1	759	196	759	100	34.1805	39	56.5
JRIU01000104.1	1	42339	10122	42319	99.9528	35.0261	39.1	57.9
JRIU01000103.1	1	86887	21011	86704	99.7894	34.6487	39.1	58.8
JRIU01000102.1	1	416	84	310	74.5192	20.5793	39.2	36.1
JRIU01000101.1	1	79474	17507	79315	99.7999	32.4016	39.1	59.5
JRIU01000100.1	1	54648	13624	54369	99.4895	36.4514	39.1	59.5
JRIU01000099.1	1	89607	21232	89250	99.6016	34.4299	39.1	58.8
JRIU01000098.1	1	8525	2563	8395	98.4751	40.204	39.1	48.7
JRIU01000097.1	1	46547	11699	46267	99.3985	36.9035	39.1	59.8
JRIU01000096.1	1	1312	268	1312	100	29.6966	39	42.1
JRIU01000095.1	1	38291	9036	38183	99.7179	34.2615	39.1	58.3
JRIU01000094.1	1	79276	20194	79106	99.7856	36.9936	39.1	59.4
JRIU01000093.1	1	29202	6571	29192	99.9658	32.846	39.1	59.2
JRIU01000092.1	1	49227	12061	49227	100	36.1069	39.1	59.9
JRIU01000091.1	1	563	189	563	100	40.952	39.2	50.5
JRIU01000090.1	1	4205	5299	2743	65.2319	161.326	38.7	56.5
JRIU01000089.1	1	127587	30137	127584	99.9976	34.7318	39.1	59.3
JRIU01000088.1	1	190015	45912	189422	99.6879	34.7503	39.1	58.2
JRIU01000087.1	1	1754	817	1714	97.7195	65.081	39.1	48.3
JRIU01000086.1	1	184319	43489	183736	99.6837	34.5685	39.1	59.5
JRIU01000085.1	1	103145	24788	102833	99.6975	35.1359	39.1	58.9
JRIU01000084.1	1	25700	6612	25439	98.9844	36.3907	39.1	56.5
JRIU01000083.1	1	3222	4670	2007	62.2905	197.877	38.9	59.8
JRIU01000082.1	1	342	228	342	100	74	39.1	58.6
JRIU01000081.1	1	1140	1955	1140	100	217.806	38.9	48.3
JRIU01000080.1	1	265	98	265	100	37.2642	39.2	43
JRIU01000079.1	1	14050	3893	14006	99.6868	39.4228	39.1	58.6
JRIU01000078.1	1	72546	17370	72515	99.9573	35.1099	39.1	59.1
JRIU01000077.1	1	20828	5362	20828	100	37.8466	39.1	59.9
JRIU01000076.1	1	10056	2552	9888	98.3294	36.1668	39.1	52.3
JRIU01000075.1	1	39173	9936	38850	99.1755	37.0022	39.1	59.1
JRIU01000074.1	1	85433	19943	85243	99.7776	34.0031	39.1	59.6
JRIU01000073.1	1	272	121	272	100	55.4743	39.2	59.2
JRIU01000072.1	1	150714	34129	150656	99.9615	33.3957	39.1	59.6
JRIU01000071.1	1	4256	1101	4234	99.4831	37.1135	39.1	58.3
JRIU01000070.1	1	71065	17209	70840	99.6834	35.623	39.1	59.6
JRIU01000069.1	1	2222	774	2196	98.8299	47.5855	39	50.4
JRIU01000068.1	1	236	126	236	100	52.6271	39	41.3
JRIU01000067.1	1	67078	17797	66964	99.83	38.3881	39.1	57.4
JRIU01000066.1	1	4142	1442	4142	100	50.0662	39.1	49.8
JRIU01000065.1	1	125219	29982	125219	100	35.2056	39.1	59.6
JRIU01000064.1	1	108796	25702	108598	99.818	34.7886	39.1	59.1
JRIU01000063.1	1	323	557	323	100	147.437	39.1	39.2
JRIU01000062.1	1	228550	57345	228177	99.8368	36.2464	39.1	59.9
JRIU01000061.1	1	344	854	327	95.0581	157.323	38.2	18.6
JRIU01000060.1	1	41077	9020	40979	99.7614	32.1603	39.1	59.4
JRIU01000059.1	1	213	41	213	100	23.277	38.7	51.6
JRIU01000058.1	1	78266	18936	77812	99.4199	35.4523	39.1	58.5
JRIU01000057.1	1	49255	11856	49246	99.9817	35.4735	39.1	59.1
JRIU01000056.1	1	89927	21786	89927	100	34.9859	39.1	58
JRIU01000055.1	1	66600	14509	66528	99.8919	32.0823	39.1	59.3
JRIU01000054.1	1	4663	1136	4663	100	35.3052	39	59.3
JRIU01000053.1	1	8106	1849	7838	96.6938	32.9736	39.1	58.9
JRIU01000052.1	1	65944	15817	65788	99.7634	34.9709	39.1	59.6
JRIU01000051.1	1	230	404	209	90.8696	173.157	39.2	39.8
JRIU01000050.1	1	8978	3695	8978	100	58.0443	39.2	48.2
JRIU01000049.1	1	2689	801	2689	100	42.1019	39.2	57.5
JRIU01000048.1	1	16579	4139	16579	100	36.8143	39.1	59.8
JRIU01000047.1	1	47648	12414	47624	99.9496	38.2625	39.1	59.7
JRIU01000046.1	1	114207	28604	113896	99.7277	36.759	39.1	59.7
JRIU01000045.1	1	19072	4681	19072	100	34.7125	39.1	59.8
JRIU01000044.1	1	392	162	392	100	49.2092	39	49.2
JRIU01000043.1	1	209686	53648	209356	99.8426	37.194	39.1	58.5
JRIU01000042.1	1	1420	3118	1339	94.2958	229.112	38.8	37.3
JRIU01000041.1	1	80581	18677	80224	99.557	33.9184	39.1	59.7
JRIU01000040.1	1	2684	6672	2515	93.7034	340.962	38.9	58.5
JRIU01000039.1	1	4389	5629	2484	56.596	160.969	38.9	55.4
JRIU01000038.1	1	19970	5057	19945	99.8748	37.1426	39.1	59.6
JRIU01000037.1	1	243759	60579	243527	99.9048	36.6028	39.1	59.7
JRIU01000036.1	1	41874	10349	41567	99.2668	36.426	39.1	59.3
JRIU01000035.1	1	35501	8920	35298	99.4282	36.9075	39.1	59.6
JRIU01000034.1	1	7726	1800	7724	99.9741	33.9494	39.1	55.7
JRIU01000033.1	1	63080	14518	63056	99.962	33.975	39.1	59.5
JRIU01000032.1	1	112697	26380	112323	99.6681	33.939	39.1	59.5
JRIU01000031.1	1	128238	31605	126814	98.8896	35.8596	39.1	59.1
JRIU01000030.1	1	102607	24192	101914	99.3246	34.7129	39.1	59.9
JRIU01000029.1	1	2889	1082	2889	100	54.7252	39.2	59.7
JRIU01000028.1	1	976	1481	678	69.4672	141.384	39.1	41.6
JRIU01000027.1	1	200129	48036	199872	99.8716	35.1509	39.1	59.7
JRIU01000026.1	1	92597	20862	92367	99.7516	33.1649	39.1	59.7
JRIU01000025.1	1	697	225	674	96.7001	36.9656	38.9	50.5
JRIU01000024.1	1	7628	1802	7365	96.5522	34.3663	39.1	59.7
JRIU01000023.1	1	2917	704	2917	100	35.2396	39.2	59.1
JRIU01000022.1	1	2797	834	2797	100	42.2606	39.1	59
JRIU01000021.1	1	43940	10670	43913	99.9386	35.6496	39.1	59
JRIU01000020.1	1	582	248	406	69.7595	40.6357	39.1	52
JRIU01000019.1	1	99425	23805	99352	99.9266	35.0818	39.1	59.5
JRIU01000018.1	1	100695	24281	100415	99.7219	35.4126	39.1	59.8
JRIU01000017.1	1	1644	388	1587	96.5328	30.5	39.1	57.2
JRIU01000016.1	1	90696	22379	90253	99.5116	35.382	39.1	58.8
JRIU01000015.1	1	339	142	339	100	43.4897	38.8	45.2
JRIU01000014.1	1	53418	12804	53371	99.912	35.2389	39.1	59.3
JRIU01000013.1	1	8324	2064	8118	97.5252	36.176	39.1	59.4
JRIU01000012.1	1	150181	36442	149972	99.8608	35.6017	39.1	59.8
JRIU01000011.1	1	1490	367	1488	99.8658	35.8584	39.1	43.4
JRIU01000010.1	1	32399	7878	32399	100	35.8714	39.1	54.7
JRIU01000009.1	1	57716	14540	57400	99.4525	36.9507	39.1	58.9
JRIU01000008.1	1	13055	3074	13030	99.8085	34.285	39.1	59.4
JRIU01000007.1	1	260032	62299	259870	99.9377	35.1175	39.1	59.4
JRIU01000006.1	1	81554	18912	81364	99.767	33.9196	39.1	57.7
JRIU01000005.1	1	679	226	679	100	43.3063	39	57.2
JRIU01000004.1	1	81668	19506	81435	99.7147	34.8163	39.1	58.4
JRIU01000003.1	1	65673	16617	65261	99.3726	36.3845	39.1	58.3
JRIU01000002.1	1	114563	25830	113716	99.2607	33.1914	39.1	59.3
JRIU01000001.1	1	9053	2736	9053	100	42.6445	39.1	58.4
JRIU01000415.1	1	230	1702	230	100	892.396	39.1	59.1
JRIU01000414.1	1	2135	8040	2135	100	516.814	39.1	59.5
JRIU01000413.1	1	686	1944	686	100	361.09	38.9	57.3
JRIU01000412.1	1	266	1371	266	100	538.556	38.8	58.8
JRIU01000411.1	1	1143	6033	1143	100	754.564	39.1	60
JRIU01000410.1	1	201	785	201	100	453.333	38.8	60
JRIU01000409.1	1	593	2598	593	100	509.597	38.9	57.6
JRIU01000408.1	1	1121	3125	1121	100	386.607	38.7	59.7
JRIU01000407.1	1	1511	9793	1511	100	920.944	39.1	59.9
JRIU01000406.1	1	4960	28361	4960	100	829.299	39.1	60
JRIU01000405.1	1	709	3490	709	100	643.24	39	56
JRIU01000404.1	1	3602	17803	3602	100	713.491	39	60
JRIU01000403.1	1	1135	4899	1135	100	603.767	38.9	59.9
JRIU01000402.1	1	2698	10995	2698	100	570.348	39	59.2
JRIU01000401.1	1	2066	7786	2066	100	538.62	39	59.9
JRIU01000400.1	1	6091	28537	6091	100	680.766	39	60
JRIU01000399.1	1	3589	19630	3589	100	793.352	39.1	60
JRIU01000398.1	1	724	2400	724	100	412.465	38.9	59.7
JRIU01000397.1	1	1785	5919	1785	100	469.139	39	55.7
JRIU01000396.1	1	4047	11085	3379	83.4939	390.702	39	57.2
JRIU01000395.1	1	314	1396	314	100	486.761	38.8	46.5
