Scaffold,Start,End,Region_Size,Avg_Enrichment,Max_Enrichment,Treatment_Count,Treatments
JRIU01000176.1,64200,65200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000004.1,45600,46600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,64600,65600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000183.1,96600,97600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000375.1,400,1400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000375.1,200,1200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000375.1,0,1000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000324.1,0,1000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000292.1,1800,2800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000292.1,1600,2600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000292.1,1400,2400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000292.1,1200,2200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000183.1,96400,97400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,64800,65800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000183.1,96200,97200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000183.1,96000,97000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000183.1,95800,96800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,125200,126200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,124800,125800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,124600,125600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,124400,125400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,65000,66000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,125000,126000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000116.1,18000,19000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000126.1,80000,81000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000052.1,42800,43800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000052.1,42400,43400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000036.1,40800,41800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000036.1,40600,41600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000036.1,40400,41400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000036.1,40200,41200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000033.1,62000,63000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000033.1,61800,62800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000033.1,61600,62600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000033.1,61400,62400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000032.1,38400,39400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000032.1,38200,39200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000032.1,38000,39000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000032.1,37800,38800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000032.1,37600,38600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000004.1,46400,47400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000004.1,46200,47200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000004.1,46000,47000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000052.1,42600,43600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000052.1,43000,44000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000123.1,93600,94600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000052.1,43200,44200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000123.1,93400,94400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000123.1,93200,94200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000123.1,93000,94000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000123.1,92800,93800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000116.1,18200,19200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000004.1,45800,46800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000116.1,17800,18800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000116.1,17600,18600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000116.1,17400,18400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000115.1,14600,15600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000115.1,14400,15400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000115.1,14200,15200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000115.1,14000,15000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000115.1,13800,14800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000098.1,400,1400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000098.1,200,1200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000098.1,0,1000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000375.1,600,1600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
