gene_id	scaffold_id	start	end	strand	product	note
W3030A00630	scaffold_1	117498	118635	+	hypothetical protein	None
W3030A00640	scaffold_1	119931	120972	+	hypothetical protein	None
W3030A00650	scaffold_1	121288	122230	+	hypothetical protein	None
W3030A00660	scaffold_1	122566	125401	+	hypothetical protein	None
W3030A00670	scaffold_1	125553	126318	-	hypothetical protein	None
W3030A00680	scaffold_1	127018	128455	-	hypothetical protein	None
W3030A00690	scaffold_1	128858	130493	-	hypothetical protein	None
W3030A00700	scaffold_1	130876	133078	-	hypothetical protein	None
W3030A00710	scaffold_1	133779	134661	-	hypothetical protein	None
W3030A00720	scaffold_1	135515	136499	+	hypothetical protein	None
W3030A00730	scaffold_1	136915	138052	+	hypothetical protein	None
W3030A00740	scaffold_1	138361	142972	-	hypothetical protein	None
W3030A00750	scaffold_1	143734	144097	+	hypothetical protein	None
W3030A00760	scaffold_1	144522	146832	+	hypothetical protein	None
W3030A00770	scaffold_1	147542	148568	+	hypothetical protein	None
W3030A00780	scaffold_1	148974	149598	-	hypothetical protein	None
W3030A00790	scaffold_1	149770	150586	+	hypothetical protein	None
W3030A00800	scaffold_1	150868	151972	-	hypothetical protein	None
W3030A00810	scaffold_1	152500	154561	-	hypothetical protein	None
W3030A00820	scaffold_1	155926	156331	+	hypothetical protein	None
W3030A00830	scaffold_1	156874	158530	+	hypothetical protein	None
W3030A00840	scaffold_1	159995	160370	-	hypothetical protein	None
W3030A00850	scaffold_1	161224	162985	-	hypothetical protein	None
W3030A00860	scaffold_1	163942	165286	+	hypothetical protein	None
W3030A00870	scaffold_1	165389	167534	-	hypothetical protein	None
W3030A00880	scaffold_1	167988	169182	+	hypothetical protein	None
W3030A00890	scaffold_1	169509	171165	-	hypothetical protein	None
W3030A00900	scaffold_1	172055	173834	-	hypothetical protein	None
W3030A00910	scaffold_1	174579	177585	+	hypothetical protein	None
W3030A00920	scaffold_1	178459	179686	+	hypothetical protein	None
W3030A00930	scaffold_1	179871	181902	-	hypothetical protein	None
W3030A00940	scaffold_1	182353	182872	-	hypothetical protein	None
W3030A00950	scaffold_1	183018	185001	-	hypothetical protein	None
W3030A00960	scaffold_1	185604	185946	+	hypothetical protein	None
W3030A00970	scaffold_1	186233	187955	+	hypothetical protein	None
W3030A00980	scaffold_1	188587	189325	+	hypothetical protein	None
W3030A00990	scaffold_1	189537	190143	+	hypothetical protein	None
W3030A01000	scaffold_1	190316	191771	-	hypothetical protein	None
W3030A01010	scaffold_1	192428	193694	+	hypothetical protein	None
W3030A01020	scaffold_1	193788	194529	-	hypothetical protein	None
W3030A01030	scaffold_1	194872	196483	-	hypothetical protein	None
W3030A01040	scaffold_1	196753	200035	-	hypothetical protein	None
W3030A01050	scaffold_1	200927	203213	-	hypothetical protein	None
W3030A01060	scaffold_1	203856	204621	-	hypothetical protein	None
W3030A01070	scaffold_1	205340	205661	-	hypothetical protein	None
W3030A01080	scaffold_1	206380	206809	+	hypothetical protein	None
W3030A01090	scaffold_1	207311	208691	+	hypothetical protein	None
W3030A01100	scaffold_1	209041	210133	-	hypothetical protein	None
W3030A01110	scaffold_1	210423	211566	+	hypothetical protein	None
W3030A01120	scaffold_1	211656	212808	-	hypothetical protein	None
W3030A01130	scaffold_1	213155	216461	-	hypothetical protein	None
W3030A01140	scaffold_1	217210	217725	+	hypothetical protein	None
W3030A01150	scaffold_1	217729	218344	+	hypothetical protein	None
W3030A01160	scaffold_1	218647	219754	+	hypothetical protein	None
W3030A01170	scaffold_1	219863	221339	-	hypothetical protein	None
W3030A01180	scaffold_1	221772	225003	-	hypothetical protein	None
W3030A01190	scaffold_1	226306	227497	+	hypothetical protein	None
W3030A01200	scaffold_1	228187	228373	+	hypothetical protein	None
W3030A01210	scaffold_1	228670	229858	-	hypothetical protein	None
W3030A01220	scaffold_1	230108	231329	-	hypothetical protein	None
W3030A01230	scaffold_1	233867	235523	+	hypothetical protein	None
W3030A01240	scaffold_1	235763	236675	-	hypothetical protein	None
W3030A01250	scaffold_1	237040	239176	-	hypothetical protein	None
W3030A01260	scaffold_1	239469	240732	-	hypothetical protein	None
W3030A01270	scaffold_1	241494	242817	-	hypothetical protein	None
W3030A01280	scaffold_1	243805	245926	+	hypothetical protein	None
W3030A01290	scaffold_1	246208	247699	-	hypothetical protein	None
W3030A01300	scaffold_1	247947	249423	+	hypothetical protein	None
W3030A01310	scaffold_1	249677	252551	+	hypothetical protein	None
W3030A01320	scaffold_1	252766	253840	+	hypothetical protein	None
W3030A01330	scaffold_1	254057	255212	+	hypothetical protein	None
W3030A01340	scaffold_1	255471	257247	+	hypothetical protein	None
W3030A01350	scaffold_1	257424	257958	+	hypothetical protein	None
W3030A01360	scaffold_1	258063	259575	+	hypothetical protein	None
W3030A01370	scaffold_1	259543	260920	-	hypothetical protein	None
W3030A01380	scaffold_1	261136	262642	+	hypothetical protein	None
W3030A01390	scaffold_1	262866	263355	-	hypothetical protein	None
W3030A01400	scaffold_1	263524	264892	-	hypothetical protein	None
W3030A01410	scaffold_1	265061	266030	+	hypothetical protein	None
W3030A01420	scaffold_1	266319	270204	+	hypothetical protein	None
W3030A01430	scaffold_1	270447	272838	-	hypothetical protein	None
W3030A01440	scaffold_1	273138	274014	+	hypothetical protein	None
W3030A01450	scaffold_1	274217	274424	-	hypothetical protein	None
W3030A01460	scaffold_1	274649	278180	-	hypothetical protein	None
W3030A01470	scaffold_1	278434	279304	+	hypothetical protein	None
W3030A01480	scaffold_1	279552	288792	-	hypothetical protein	None
W3030A01490	scaffold_1	289887	291135	-	hypothetical protein	None
W3030A01500	scaffold_1	292909	294148	-	hypothetical protein	None
W3030A01510	scaffold_1	294530	297506	-	hypothetical protein	None
W3030A01520	scaffold_1	299267	300314	+	hypothetical protein	None
W3030A01530	scaffold_1	300416	300689	-	hypothetical protein	None
W3030A01540	scaffold_1	301224	304575	+	hypothetical protein	None
W3030A01550	scaffold_1	305116	305950	+	hypothetical protein	None
W3030A01560	scaffold_1	306371	309464	+	hypothetical protein	None
W3030A01570	scaffold_1	309585	312480	-	hypothetical protein	None
W3030A01580	scaffold_1	312698	314528	-	hypothetical protein	None
W3030A01590	scaffold_1	314731	315658	-	hypothetical protein	None
W3030A01600	scaffold_1	315633	317047	-	hypothetical protein	None
W3030A01610	scaffold_1	317306	318278	+	hypothetical protein	None
W3030A01620	scaffold_1	318514	320635	+	hypothetical protein	None
W3030A01630	scaffold_1	320804	321755	+	hypothetical protein	None
W3030A01640	scaffold_1	322036	323335	+	hypothetical protein	None
W3030A01650	scaffold_1	324023	327137	+	hypothetical protein	None
W3030A01660	scaffold_1	327379	330625	-	hypothetical protein	None
W3030A01670	scaffold_1	331941	332880	+	hypothetical protein	None
W3030A01680	scaffold_1	333172	333865	+	hypothetical protein	None
W3030A01690	scaffold_1	334031	335870	-	hypothetical protein	None
W3030AA00100	scaffold_27	1504	1957	+	hypothetical protein	None
W3030AA00110	scaffold_27	2767	7303	-	hypothetical protein	None
W3030AA00120	scaffold_27	8834	9983	-	hypothetical protein	None
W3030AA00130	scaffold_27	10917	11916	-	hypothetical protein	None
W3030AA00140	scaffold_27	12684	13590	+	hypothetical protein	None
W3030AA00150	scaffold_27	14043	15384	-	hypothetical protein	None
W3030AA00160	scaffold_27	15724	15934	+	hypothetical protein	None
W3030AA00170	scaffold_27	16888	17485	+	hypothetical protein	None
W3030AA00180	scaffold_27	17704	18892	-	hypothetical protein	None
W3030AA00190	scaffold_27	19381	20740	-	hypothetical protein	None
W3030AA00200	scaffold_27	21301	22549	+	hypothetical protein	None
W3030AA00210	scaffold_27	22862	23162	+	hypothetical protein	None
W3030AA00220	scaffold_27	23544	23844	-	hypothetical protein	None
W3030AA00230	scaffold_27	24160	26557	+	hypothetical protein	None
W3030AA00240	scaffold_27	26839	28897	+	hypothetical protein	None
W3030AA00250	scaffold_27	29940	31608	-	hypothetical protein	None
W3030AA00260	scaffold_27	32018	32642	-	hypothetical protein	None
W3030AA00270	scaffold_27	32893	35902	-	hypothetical protein	None
W3030AA00280	scaffold_27	36125	37076	+	hypothetical protein	None
W3030AA00290	scaffold_27	37435	37969	+	hypothetical protein	None
W3030AA00300	scaffold_27	38327	38801	-	hypothetical protein	None
W3030AA00310	scaffold_27	39742	42604	+	hypothetical protein	None
W3030AA00320	scaffold_27	43629	44127	+	hypothetical protein	None
W3030AA00330	scaffold_27	44279	45125	-	hypothetical protein	None
W3030AA00340	scaffold_27	45804	48282	-	hypothetical protein	None
W3030AA00350	scaffold_27	48935	49844	-	hypothetical protein	None
W3030AA00360	scaffold_27	50460	52164	+	hypothetical protein	None
W3030AA00370	scaffold_27	52423	54637	+	hypothetical protein	None
W3030AA00380	scaffold_27	55013	56210	+	hypothetical protein	None
W3030AA00390	scaffold_27	56582	57320	+	hypothetical protein	None
W3030AA00400	scaffold_27	57592	59101	-	hypothetical protein	None
W3030AA00410	scaffold_27	59390	59987	-	hypothetical protein	None
W3030AA00420	scaffold_27	60571	61297	+	hypothetical protein	None
W3030AA00430	scaffold_27	61393	63367	-	hypothetical protein	None
W3030AA00440	scaffold_27	63751	67054	+	hypothetical protein	None
W3030AA00450	scaffold_27	68155	68719	+	hypothetical protein	None
W3030AA00460	scaffold_27	69367	71233	-	hypothetical protein	None
W3030AA00470	scaffold_27	71565	74073	-	hypothetical protein	None
W3030AA00480	scaffold_27	74705	75815	+	hypothetical protein	None
W3030AA00490	scaffold_27	75788	77288	-	hypothetical protein	None
W3030AA00500	scaffold_27	78068	82013	+	hypothetical protein	None
W3030AA00510	scaffold_27	82864	83938	-	hypothetical protein	None
W3030AA00520	scaffold_27	84601	85747	+	hypothetical protein	None
W3030AA00530	scaffold_27	86039	86405	-	hypothetical protein	None
W3030AA00540	scaffold_27	86777	90464	+	hypothetical protein	None
W3030AA00550	scaffold_27	90696	91758	-	hypothetical protein	None
W3030AA00560	scaffold_27	92072	92642	+	hypothetical protein	None
W3030AA00570	scaffold_27	92874	95985	-	hypothetical protein	None
W3030AA00580	scaffold_27	96433	99019	+	hypothetical protein	None
W3030AA00590	scaffold_27	99130	100897	-	hypothetical protein	None
W3030AA00600	scaffold_27	101679	105192	+	hypothetical protein	None
W3030AA00610	scaffold_27	105534	107355	+	hypothetical protein	None
W3030AA00620	scaffold_27	107680	108706	-	hypothetical protein	None
W3030AA00630	scaffold_27	109068	110457	+	hypothetical protein	None
W3030AA00640	scaffold_27	110675	111377	-	hypothetical protein	None
W3030AA00650	scaffold_27	111653	112778	+	hypothetical protein	None
W3030AA00660	scaffold_27	113425	114886	+	hypothetical protein	None
W3030AA00670	scaffold_27	115433	116984	+	hypothetical protein	None
W3030AB00100	scaffold_28	1805	3455	-	hypothetical protein	None
W3030AB00110	scaffold_28	3964	6364	-	hypothetical protein	None
W3030AB00120	scaffold_28	6670	8191	-	hypothetical protein	None
W3030AB00130	scaffold_28	9075	12117	+	hypothetical protein	None
W3030AB00140	scaffold_28	12235	12517	-	hypothetical protein	None
W3030AB00150	scaffold_28	13823	15662	+	hypothetical protein	None
W3030AB00160	scaffold_28	16185	17100	+	hypothetical protein	None
W3030AB00170	scaffold_28	17466	17901	-	hypothetical protein	None
W3030AB00180	scaffold_28	19009	20254	-	hypothetical protein	None
W3030AB00190	scaffold_28	20676	22506	-	hypothetical protein	None
W3030AB00200	scaffold_28	23146	23353	+	hypothetical protein	None
W3030AB00210	scaffold_28	23934	26343	+	hypothetical protein	None
W3030AB00220	scaffold_28	26980	28063	+	hypothetical protein	None
W3030AB00230	scaffold_28	28603	29005	+	hypothetical protein	None
W3030AB00240	scaffold_28	29111	30257	-	hypothetical protein	None
W3030AB00250	scaffold_28	30544	32383	-	hypothetical protein	None
W3030AB00260	scaffold_28	32638	35437	-	hypothetical protein	None
W3030AB00270	scaffold_28	35795	36617	-	hypothetical protein	None
W3030AB00280	scaffold_28	38788	39511	+	hypothetical protein	None
W3030AB00290	scaffold_28	39589	40060	-	hypothetical protein	None
W3030AB00300	scaffold_28	40388	41774	+	hypothetical protein	None
W3030AB00310	scaffold_28	42205	43456	+	hypothetical protein	None
W3030AB00320	scaffold_28	44145	45288	-	hypothetical protein	None
W3030AB00330	scaffold_28	45783	47268	-	hypothetical protein	None
W3030AB00340	scaffold_28	47946	48912	+	hypothetical protein	None
W3030AB00350	scaffold_28	49202	51635	-	hypothetical protein	None
W3030AB00360	scaffold_28	51950	53702	-	hypothetical protein	None
W3030AB00370	scaffold_28	53950	55054	+	hypothetical protein	None
W3030AB00380	scaffold_28	55313	57254	+	hypothetical protein	None
W3030AB00390	scaffold_28	57503	58049	-	hypothetical protein	None
W3030AB00400	scaffold_28	58394	60029	+	hypothetical protein	None
W3030AB00410	scaffold_28	60213	60930	-	hypothetical protein	None
W3030AB00420	scaffold_28	61352	62975	+	hypothetical protein	None
W3030AB00430	scaffold_28	63120	64128	-	hypothetical protein	None
W3030AB00440	scaffold_28	64414	67714	-	hypothetical protein	None
W3030AB00450	scaffold_28	68363	71915	+	hypothetical protein	None
W3030AB00460	scaffold_28	72125	72575	-	hypothetical protein	None
W3030AB00470	scaffold_28	73306	74785	-	hypothetical protein	None
W3030AB00480	scaffold_28	75842	78224	-	hypothetical protein	None
W3030AB00490	scaffold_28	79095	81162	-	hypothetical protein	None
W3030AB00500	scaffold_28	82185	82692	+	hypothetical protein	None
W3030AB00510	scaffold_28	83235	84690	+	hypothetical protein	None
W3030AB00520	scaffold_28	84877	85318	-	hypothetical protein	None
W3030AB00530	scaffold_28	85966	89557	-	hypothetical protein	None
W3030AB00540	scaffold_28	90156	91161	+	hypothetical protein	None
W3030AB00550	scaffold_28	91292	92942	-	hypothetical protein	None
W3030AB00560	scaffold_28	93636	94257	-	hypothetical protein	None
W3030AB00570	scaffold_28	94836	96012	-	hypothetical protein	None
W3030AB00580	scaffold_28	97008	102672	-	hypothetical protein	None
W3030AB00590	scaffold_28	103176	104049	-	hypothetical protein	None
W3030AB00600	scaffold_28	104501	105152	-	hypothetical protein	None
W3030AB00610	scaffold_28	105883	106378	+	hypothetical protein	None
W3030AB00620	scaffold_28	106676	108092	-	hypothetical protein	None
W3030AB00630	scaffold_28	108621	109716	+	hypothetical protein	None
W3030AB00640	scaffold_28	109970	110828	-	hypothetical protein	None
W3030AB00650	scaffold_28	111237	111840	-	hypothetical protein	None
W3030AB00660	scaffold_28	112698	114563	+	hypothetical protein	None
W3030ABtrna13E	scaffold_28	1348	1420	+	None	None
W3030AC00100	scaffold_29	1809	2985	+	hypothetical protein	None
W3030AC00110	scaffold_29	3463	6157	+	hypothetical protein	None
W3030AC00120	scaffold_29	6438	6870	-	hypothetical protein	None
W3030AC00130	scaffold_29	8548	10018	+	hypothetical protein	None
W3030AC00140	scaffold_29	11244	11418	+	hypothetical protein	None
W3030AC00150	scaffold_29	12033	12480	+	hypothetical protein	None
W3030AC00160	scaffold_29	12930	14280	+	hypothetical protein	None
W3030AC00170	scaffold_29	14558	15113	-	hypothetical protein	None
W3030AC00180	scaffold_29	15309	17589	-	hypothetical protein	None
W3030AC00190	scaffold_29	18062	20255	-	hypothetical protein	None
W3030AC00200	scaffold_29	20844	21594	+	hypothetical protein	None
W3030AC00210	scaffold_29	21797	23192	+	hypothetical protein	None
W3030AC00220	scaffold_29	23195	24161	-	hypothetical protein	None
W3030AC00230	scaffold_29	24850	26683	+	hypothetical protein	None
W3030AC00240	scaffold_29	26973	27411	-	hypothetical protein	None
W3030AC00250	scaffold_29	27646	28204	-	hypothetical protein	None
W3030AC00260	scaffold_29	28762	31993	+	hypothetical protein	None
W3030AC00270	scaffold_29	32356	35134	-	hypothetical protein	None
W3030AC00280	scaffold_29	35302	35974	+	hypothetical protein	None
W3030AC00290	scaffold_29	36151	36634	-	hypothetical protein	None
W3030AC00300	scaffold_29	36872	37463	+	hypothetical protein	None
W3030AC00310	scaffold_29	38173	39358	+	hypothetical protein	None
W3030AC00320	scaffold_29	39817	41071	+	hypothetical protein	None
W3030AC00330	scaffold_29	41575	42406	+	hypothetical protein	None
W3030AC00340	scaffold_29	43215	44799	-	hypothetical protein	None
W3030AC00350	scaffold_29	45086	47858	-	hypothetical protein	None
W3030AC00360	scaffold_29	48113	48974	-	hypothetical protein	None
W3030AC00370	scaffold_29	49174	51238	-	hypothetical protein	None
W3030AC00380	scaffold_29	51525	53097	-	hypothetical protein	None
W3030AC00390	scaffold_29	53526	54876	-	hypothetical protein	None
W3030AC00400	scaffold_29	55502	55769	+	hypothetical protein	None
W3030AC00410	scaffold_29	55811	57245	-	hypothetical protein	None
W3030AC00420	scaffold_29	57417	58083	+	hypothetical protein	None
W3030AC00430	scaffold_29	58253	60539	+	hypothetical protein	None
W3030AC00440	scaffold_29	60730	61765	-	hypothetical protein	None
W3030AC00450	scaffold_29	63266	65501	-	hypothetical protein	None
W3030AC00460	scaffold_29	65822	67442	-	hypothetical protein	None
W3030AC00470	scaffold_29	67763	71201	-	hypothetical protein	None
W3030AC00480	scaffold_29	71610	72207	-	hypothetical protein	None
W3030AC00490	scaffold_29	74021	74714	-	hypothetical protein	None
W3030AC00500	scaffold_29	76623	77328	+	hypothetical protein	None
W3030AC00510	scaffold_29	77469	77847	-	hypothetical protein	None
W3030AC00520	scaffold_29	78143	82154	+	hypothetical protein	None
W3030AC00530	scaffold_29	83506	83725	+	hypothetical protein	None
W3030AC00540	scaffold_29	83878	85435	-	hypothetical protein	None
W3030AC00550	scaffold_29	85676	87239	-	hypothetical protein	None
W3030AC00560	scaffold_29	87519	89412	-	hypothetical protein	None
W3030AC00570	scaffold_29	89686	90382	-	hypothetical protein	None
W3030AC00580	scaffold_29	90843	92226	+	hypothetical protein	None
W3030AC00590	scaffold_29	92463	93159	-	hypothetical protein	None
W3030AC00600	scaffold_29	94153	96442	-	hypothetical protein	None
W3030AC00610	scaffold_29	98983	99661	+	hypothetical protein	None
W3030AC00620	scaffold_29	99947	101240	+	hypothetical protein	None
W3030AC00630	scaffold_29	101362	101734	-	hypothetical protein	None
W3030AC00640	scaffold_29	101982	103011	-	hypothetical protein	None
W3030AC00650	scaffold_29	103206	104055	+	hypothetical protein	None
W3030AC00660	scaffold_29	104627	105635	-	hypothetical protein	None
W3030AC00670	scaffold_29	106069	106618	-	hypothetical protein	None
W3030AC00680	scaffold_29	106812	108171	-	hypothetical protein	None
W3030AC00690	scaffold_29	110299	111145	+	hypothetical protein	None
W3030ACtrna6H	scaffold_29	42621	42693	-	None	None
W3030ACtrna7R	scaffold_29	111325	111397	-	None	None
W3030AD00100	scaffold_30	521	1817	-	hypothetical protein	None
W3030AD00110	scaffold_30	2123	2837	-	hypothetical protein	None
W3030AD00120	scaffold_30	3332	6437	+	hypothetical protein	None
W3030AD00130	scaffold_30	6747	11091	-	hypothetical protein	None
W3030AD00140	scaffold_30	11233	12610	+	hypothetical protein	None
W3030AD00150	scaffold_30	12950	15113	+	hypothetical protein	None
W3030AD00160	scaffold_30	15868	16645	+	hypothetical protein	None
W3030AD00170	scaffold_30	16977	17743	+	hypothetical protein	None
W3030AD00180	scaffold_30	18426	18462	-	hypothetical protein	None
W3030AD00190	scaffold_30	19866	20250	+	hypothetical protein	None
W3030AD00200	scaffold_30	20908	24175	+	hypothetical protein	None
W3030AD00210	scaffold_30	24377	25031	-	hypothetical protein	None
W3030AD00220	scaffold_30	25577	27362	+	hypothetical protein	None
W3030AD00230	scaffold_30	28476	30117	+	hypothetical protein	None
W3030AD00240	scaffold_30	30584	31355	+	hypothetical protein	None
W3030AD00250	scaffold_30	31677	32877	-	hypothetical protein	None
W3030AD00260	scaffold_30	33369	34038	+	hypothetical protein	None
W3030AD00270	scaffold_30	34324	35488	+	hypothetical protein	None
W3030AD00280	scaffold_30	35895	37158	-	hypothetical protein	None
W3030AD00290	scaffold_30	37719	40599	-	hypothetical protein	None
W3030AD00300	scaffold_30	41726	42668	+	hypothetical protein	None
W3030AD00310	scaffold_30	43023	49395	-	hypothetical protein	None
W3030AD00320	scaffold_30	50297	51629	+	hypothetical protein	None
W3030AD00330	scaffold_30	51741	53115	-	hypothetical protein	None
W3030AD00340	scaffold_30	53346	54696	+	hypothetical protein	None
W3030AD00350	scaffold_30	54913	56341	+	hypothetical protein	None
W3030AD00360	scaffold_30	56525	58874	-	hypothetical protein	None
W3030AD00370	scaffold_30	59211	60984	+	hypothetical protein	None
W3030AD00380	scaffold_30	61099	62314	+	hypothetical protein	None
W3030AD00390	scaffold_30	62627	64202	+	hypothetical protein	None
W3030AD00400	scaffold_30	64642	66871	-	hypothetical protein	None
W3030AD00410	scaffold_30	67621	69199	+	hypothetical protein	None
W3030AD00420	scaffold_30	69410	72719	-	hypothetical protein	None
W3030AD00430	scaffold_30	72964	77941	+	hypothetical protein	None
W3030AD00440	scaffold_30	78147	79503	+	hypothetical protein	None
W3030AD00450	scaffold_30	79762	81277	-	hypothetical protein	None
W3030AD00460	scaffold_30	81469	82141	-	hypothetical protein	None
W3030AD00470	scaffold_30	82546	83962	+	hypothetical protein	None
W3030AD00480	scaffold_30	84406	86485	-	hypothetical protein	None
W3030AD00490	scaffold_30	86791	87052	-	hypothetical protein	None
W3030AD00500	scaffold_30	87424	88228	-	hypothetical protein	None
W3030AD00510	scaffold_30	88444	90217	-	hypothetical protein	None
W3030AD00520	scaffold_30	90457	91483	+	hypothetical protein	None
W3030AD00530	scaffold_30	91765	96955	-	hypothetical protein	None
W3030AD00540	scaffold_30	98251	98973	+	hypothetical protein	None
W3030AD00550	scaffold_30	99376	102466	+	hypothetical protein	None
W3030AD00560	scaffold_30	102757	104791	+	hypothetical protein	None
W3030AD00570	scaffold_30	105016	105697	+	hypothetical protein	None
W3030AD00580	scaffold_30	106097	107144	+	hypothetical protein	None
W3030AD00590	scaffold_30	107343	108567	-	hypothetical protein	None
W3030AD00600	scaffold_30	108802	109276	+	hypothetical protein	None
W3030AD00610	scaffold_30	109580	111755	+	hypothetical protein	None
W3030AD00620	scaffold_30	112184	113561	+	hypothetical protein	None
W3030ADtrna4R	scaffold_30	113723	113795	-	None	None
W3030AE00100	scaffold_31	1459	2107	+	hypothetical protein	None
W3030AE00110	scaffold_31	2294	2891	-	hypothetical protein	None
W3030AE00120	scaffold_31	3171	3951	-	hypothetical protein	None
W3030AE00130	scaffold_31	4139	5621	+	hypothetical protein	None
W3030AE00140	scaffold_31	5728	7645	-	hypothetical protein	None
W3030AE00150	scaffold_31	7821	9006	-	hypothetical protein	None
W3030AE00160	scaffold_31	9317	10535	-	hypothetical protein	None
W3030AE00170	scaffold_31	10785	11553	+	hypothetical protein	None
W3030AE00180	scaffold_31	11702	12902	+	hypothetical protein	None
W3030AE00190	scaffold_31	13020	14928	-	hypothetical protein	None
W3030AE00200	scaffold_31	15511	19582	-	hypothetical protein	None
W3030AE00210	scaffold_31	20265	21243	+	hypothetical protein	None
W3030AE00220	scaffold_31	21492	24888	-	hypothetical protein	None
W3030AE00230	scaffold_31	25191	26193	+	hypothetical protein	None
W3030AE00240	scaffold_31	26447	28961	+	hypothetical protein	None
W3030AE00250	scaffold_31	29376	30930	+	hypothetical protein	None
W3030AE00260	scaffold_31	31255	33535	+	hypothetical protein	None
W3030AE00270	scaffold_31	33934	38242	+	hypothetical protein	None
W3030AE00280	scaffold_31	38661	39582	+	hypothetical protein	None
W3030AE00290	scaffold_31	40109	44177	+	hypothetical protein	None
W3030AE00300	scaffold_31	44334	45120	-	hypothetical protein	None
W3030AE00310	scaffold_31	45320	46907	-	hypothetical protein	None
W3030AE00320	scaffold_31	47536	51952	+	hypothetical protein	None
W3030AE00330	scaffold_31	52054	52521	-	hypothetical protein	None
W3030AE00340	scaffold_31	52775	55058	+	hypothetical protein	None
W3030AE00350	scaffold_31	55332	56472	+	hypothetical protein	None
W3030AE00360	scaffold_31	56579	57101	-	hypothetical protein	None
W3030AE00370	scaffold_31	57705	59097	+	hypothetical protein	None
W3030AE00380	scaffold_31	59219	60089	-	hypothetical protein	None
W3030AE00390	scaffold_31	60371	63380	-	hypothetical protein	None
W3030AE00400	scaffold_31	63654	64764	+	hypothetical protein	None
W3030AE00410	scaffold_31	64983	65787	-	hypothetical protein	None
W3030AE00420	scaffold_31	66518	68021	-	hypothetical protein	None
W3030AE00430	scaffold_31	70231	71041	+	hypothetical protein	None
W3030AE00440	scaffold_31	72236	73979	+	hypothetical protein	None
W3030AE00450	scaffold_31	74352	76917	-	hypothetical protein	None
