w303_gene_id	locus_tag	sc_gene_id	std_gene_name	erg_name	w303_scaffold	chromosome_id	start	end	strand	product
W3030C00430	W303_0C00430		YCL034W		w303_scaffold_3	CM007966.1	61309	62373	+	hypothetical protein
W3030C00440	W303_0C00440		YCL033C		w303_scaffold_3	CM007966.1	62427	62933	-	hypothetical protein
W3030C00450	W303_0C00450		YCL032W		w303_scaffold_3	CM007966.1	63092	64132	+	hypothetical protein
W3030C00460	W303_0C00460		YCL031C		w303_scaffold_3	CM007966.1	64326	65219	-	hypothetical protein
W3030C00470	W303_0C00470		YCL030C		w303_scaffold_3	CM007966.1	65585	67984	-	hypothetical protein
W3030C00480	W303_0C00480		YCL029C		w303_scaffold_3	CM007966.1	68250	69572	-	hypothetical protein
W3030C00490	W303_0C00490		YCL028W		w303_scaffold_3	CM007966.1	69801	71018	+	hypothetical protein
W3030C00500	W303_0C00500		YCL027W		w303_scaffold_3	CM007966.1	71454	72992	+	hypothetical protein
W3030C00510	W303_0C00510		YCL026C		w303_scaffold_3	CM007966.1	73056	73637	-	hypothetical protein
W3030C00520	W303_0C00520		YCL026C		w303_scaffold_3	CM007966.1	74355	74936	-	hypothetical protein
W3030C00530	W303_0C00530		YCL025C		w303_scaffold_3	CM007966.1	75669	77570	-	hypothetical protein
W3030C00540	W303_0C00540		YCL024W		w303_scaffold_3	CM007966.1	78813	81926	+	hypothetical protein
W3030Ctrna7E					w303_scaffold_3	CM007966.1	82113	82184	-	
W3030C00550	W303_0C00550		YCL021W		w303_scaffold_3	CM007966.1	83711	84088	+	hypothetical protein
W3030C00560	W303_0C00560				w303_scaffold_3	CM007966.1	86466	90506	+	hypothetical protein
W3030Ctrna16L					w303_scaffold_3	CM007966.1	90950	91063	+	
W3030C00570	W303_0C00570		YCL018W		w303_scaffold_3	CM007966.1	91415	91672	+	hypothetical protein
W3030C00580	W303_0C00580		YCL017C		w303_scaffold_3	CM007966.1	92870	94363	-	hypothetical protein
W3030C00590	W303_0C00590		YCL016C		w303_scaffold_3	CM007966.1	94714	95856	-	hypothetical protein
W3030C00600	W303_0C00600		YCL014W		w303_scaffold_3	CM007966.1	96374	101284	+	hypothetical protein
W3030C00610	W303_0C00610		YCL012C		w303_scaffold_3	CM007966.1	101410	101538	-	hypothetical protein
W3030C00620	W303_0C00620				w303_scaffold_3	CM007966.1	102168	103451	-	hypothetical protein
W3030C00630	W303_0C00630		YCL010C		w303_scaffold_3	CM007966.1	103664	104443	-	hypothetical protein
W3030C00640	W303_0C00640		YCL009C		w303_scaffold_3	CM007966.1	104712	105641	-	hypothetical protein
W3030C00650	W303_0C00650		YCL008C		w303_scaffold_3	CM007966.1	105789	106946	-	hypothetical protein
W3030C00660	W303_0C00660		YCL005W		w303_scaffold_3	CM007966.1	107241	107327	+	hypothetical protein
W3030C00670	W303_0C00670		YCL005W		w303_scaffold_3	CM007966.1	108114	108884	+	hypothetical protein
W3030C00680	W303_0C00680		YCL004W		w303_scaffold_3	CM007966.1	109198	110763	+	hypothetical protein
W3030C00690	W303_0C00690		YCL002C		w303_scaffold_3	CM007966.1	110901	111395	-	hypothetical protein
W3030C00700	W303_0C00700		YCL001W		w303_scaffold_3	CM007966.1	112009	112575	+	hypothetical protein
W3030C00710	W303_0C00710		YNL001W		w303_scaffold_3	CM007966.1	113173	113634	+	hypothetical protein
W3030C00720	W303_0C00720		YCR002C		w303_scaffold_3	CM007966.1	117473	118441	-	hypothetical protein
W3030C00730	W303_0C00730		YCR003W		w303_scaffold_3	CM007966.1	118713	119264	+	hypothetical protein
W3030C00740	W303_0C00740		YCR004C		w303_scaffold_3	CM007966.1	119668	120411	-	hypothetical protein
W3030C00750	W303_0C00750		YCR005C		w303_scaffold_3	CM007966.1	121039	122421	-	hypothetical protein
W3030C00760	W303_0C00760				w303_scaffold_3	CM007966.1	122623	123096	-	hypothetical protein
W3030Ctrna11P					w303_scaffold_3	CM007966.1	123670	123741	-	
W3030C00770	W303_0C00770		YCR007C		w303_scaffold_3	CM007966.1	126104	126823	-	hypothetical protein
W3030Ctrna9N					w303_scaffold_3	CM007966.1	127809	127882	+	
W3030C00780	W303_0C00780		YCR008W		w303_scaffold_3	CM007966.1	128563	130374	+	hypothetical protein
W3030C00790	W303_0C00790		YCR009C		w303_scaffold_3	CM007966.1	130838	131635	-	hypothetical protein
W3030C00800	W303_0C00800		YCR010C		w303_scaffold_3	CM007966.1	132366	133217	-	hypothetical protein
W3030C00810	W303_0C00810		YCR011C		w303_scaffold_3	CM007966.1	133817	136966	-	hypothetical protein
W3030C00820	W303_0C00820		YCR012W		w303_scaffold_3	CM007966.1	137839	139089	+	hypothetical protein
W3030C00830	W303_0C00830		YCR014C		w303_scaffold_3	CM007966.1	139278	141026	-	hypothetical protein
W3030C00840	W303_0C00840		YCR015C		w303_scaffold_3	CM007966.1	141310	142263	-	hypothetical protein
W3030Ctrna12G					w303_scaffold_3	CM007966.1	142794	142864	-	
W3030C00850	W303_0C00850		YCR016W		w303_scaffold_3	CM007966.1	143727	144599	+	hypothetical protein
W3030C00860	W303_0C00860		YCR017C		w303_scaffold_3	CM007966.1	144866	147727	-	hypothetical protein
W3030C00870	W303_0C00870		YCR018C		w303_scaffold_3	CM007966.1	148331	148732	-	hypothetical protein
W3030C00880	W303_0C00880				w303_scaffold_3	CM007966.1	150956	152434	+	hypothetical protein
W3030C00890	W303_0C00890				w303_scaffold_3	CM007966.1	152748	154070	+	hypothetical protein
W3030C00900	W303_0C00900		YCR019W		w303_scaffold_3	CM007966.1	159543	160634	+	hypothetical protein
W3030C00910	W303_0C00910		YCR020C		w303_scaffold_3	CM007966.1	160718	161365	-	hypothetical protein
W3030C00920	W303_0C00920		YCR020C		w303_scaffold_3	CM007966.1	161536	161802	-	hypothetical protein
W3030C00930	W303_0C00930		YCR020W		w303_scaffold_3	CM007966.1	162026	162262	+	hypothetical protein
W3030C00940	W303_0C00940		YCR021C		w303_scaffold_3	CM007966.1	162815	163813	-	hypothetical protein
W3030C00950	W303_0C00950		YCR023C		w303_scaffold_3	CM007966.1	165244	167079	-	hypothetical protein
W3030C00960	W303_0C00960		YCR024C		w303_scaffold_3	CM007966.1	167450	168928	-	hypothetical protein
W3030C00970	W303_0C00970		YCR024C		w303_scaffold_3	CM007966.1	169649	169771	-	hypothetical protein
W3030C00980	W303_0C00980		YCR026C		w303_scaffold_3	CM007966.1	170817	173045	-	hypothetical protein
W3030C00990	W303_0C00990		YCR027C		w303_scaffold_3	CM007966.1	174076	174705	-	hypothetical protein
W3030Ctrna3Q					w303_scaffold_3	CM007966.1	175007	175078	-	
W3030C01000	W303_0C01000				w303_scaffold_3	CM007966.1	179608	180930	-	hypothetical protein
W3030C01010	W303_0C01010				w303_scaffold_3	CM007966.1	181794	183116	+	hypothetical protein
W3030C01020	W303_0C01020		YCR028C		w303_scaffold_3	CM007966.1	188764	190302	-	hypothetical protein
W3030C01030	W303_0C01030		YCR028C		w303_scaffold_3	CM007966.1	191019	191318	-	hypothetical protein
W3030C01040	W303_0C01040		YCR030C		w303_scaffold_3	CM007966.1	191704	194316	-	hypothetical protein
W3030C01050	W303_0C01050		YCR031C		w303_scaffold_3	CM007966.1	195378	195656	-	hypothetical protein
W3030C01060	W303_0C01060		YCR032W		w303_scaffold_3	CM007966.1	197398	203901	+	hypothetical protein
W3030C01070	W303_0C01070		YCR033W		w303_scaffold_3	CM007966.1	204367	208047	+	hypothetical protein
W3030C01080	W303_0C01080		YCR034W		w303_scaffold_3	CM007966.1	208470	209513	+	hypothetical protein
W3030C01090	W303_0C01090		YCR035C		w303_scaffold_3	CM007966.1	209712	210896	-	hypothetical protein
W3030C01100	W303_0C01100		YCR036W		w303_scaffold_3	CM007966.1	211175	212176	+	hypothetical protein
W3030C01110	W303_0C01110		YCR037C		w303_scaffold_3	CM007966.1	212292	215063	-	hypothetical protein
W3030C01120	W303_0C01120		YCR038C		w303_scaffold_3	CM007966.1	215499	217427	-	hypothetical protein
W3030C01130	W303_0C01130		YCR039C		w303_scaffold_3	CM007966.1	217424	217783	-	hypothetical protein
W3030C01140	W303_0C01140		YCR097W		w303_scaffold_3	CM007966.1	218080	218566	+	hypothetical protein
W3030C01150	W303_0C01150		YCR040W		w303_scaffold_3	CM007966.1	218596	218742	+	hypothetical protein
W3030C01160	W303_0C01160		YCR042C		w303_scaffold_3	CM007966.1	218947	223170	-	hypothetical protein
W3030C01170	W303_0C01170		YCR043C		w303_scaffold_3	CM007966.1	224033	224416	-	hypothetical protein
W3030C01180	W303_0C01180		YCR044C		w303_scaffold_3	CM007966.1	224650	225723	-	hypothetical protein
W3030C01190	W303_0C01190		YCR045C		w303_scaffold_3	CM007966.1	225908	227383	-	hypothetical protein
W3030C01200	W303_0C01200		YCR046C		w303_scaffold_3	CM007966.1	227687	228196	-	hypothetical protein
W3030C01210	W303_0C01210		YCR047C		w303_scaffold_3	CM007966.1	228491	229318	-	hypothetical protein
W3030C01220	W303_0C01220		YCR048W		w303_scaffold_3	CM007966.1	229702	231534	+	hypothetical protein
W3030C01230	W303_0C01230		YCR051W		w303_scaffold_3	CM007966.1	231844	232512	+	hypothetical protein
W3030C01240	W303_0C01240		YCR052W		w303_scaffold_3	CM007966.1	232767	234218	+	hypothetical protein
W3030C01250	W303_0C01250		YCR053W		w303_scaffold_3	CM007966.1	234470	236014	+	hypothetical protein
W3030C01260	W303_0C01260		YCR054C		w303_scaffold_3	CM007966.1	236149	237840	-	hypothetical protein
W3030C01270	W303_0C01270		YCR057C		w303_scaffold_3	CM007966.1	238230	241001	-	hypothetical protein
W3030C01280	W303_0C01280		YCR059C		w303_scaffold_3	CM007966.1	241227	242003	-	hypothetical protein
W3030C01290	W303_0C01290		YCR060W		w303_scaffold_3	CM007966.1	242172	242507	+	hypothetical protein
W3030C01300	W303_0C01300		YCR061W		w303_scaffold_3	CM007966.1	243336	245231	+	hypothetical protein
W3030Ctrna11S					w303_scaffold_3	CM007966.1	245715	245815	+	
W3030C01310	W303_0C01310		YCR063W		w303_scaffold_3	CM007966.1	246091	246564	+	hypothetical protein
W3030C01320	W303_0C01320		YCR065W		w303_scaffold_3	CM007966.1	247083	248777	+	hypothetical protein
W3030C01330	W303_0C01330		YCR066W		w303_scaffold_3	CM007966.1	249273	250736	+	hypothetical protein
W3030C01340	W303_0C01340		YCR067C		w303_scaffold_3	CM007966.1	250898	254095	-	hypothetical protein
W3030C01350	W303_0C01350		YCR068W		w303_scaffold_3	CM007966.1	254987	256549	+	hypothetical protein
W3030C01360	W303_0C01360		YCR069W		w303_scaffold_3	CM007966.1	256828	257784	+	hypothetical protein
W3030C01370	W303_0C01370		YCR071C		w303_scaffold_3	CM007966.1	257876	258316	-	hypothetical protein
W3030C01380	W303_0C01380		YCR072C		w303_scaffold_3	CM007966.1	258578	260125	-	hypothetical protein
W3030C01390	W303_0C01390		YCR073C		w303_scaffold_3	CM007966.1	260361	264356	-	hypothetical protein
W3030C01400	W303_0C01400		YCR073W		w303_scaffold_3	CM007966.1	264736	265683	+	hypothetical protein
W3030C01410	W303_0C01410		YCR075C		w303_scaffold_3	CM007966.1	265806	266588	-	hypothetical protein
W3030C01420	W303_0C01420		YNR034W		w303_scaffold_3	CM007966.1	266748	266975	+	hypothetical protein
W3030C01430	W303_0C01430		YCR076C		w303_scaffold_3	CM007966.1	267066	267818	-	hypothetical protein
W3030C01440	W303_0C01440		YCR077C		w303_scaffold_3	CM007966.1	268011	270401	-	hypothetical protein
W3030C01450	W303_0C01450		YCR079W		w303_scaffold_3	CM007966.1	270618	271946	+	hypothetical protein
W3030C01460	W303_0C01460		YCR081W		w303_scaffold_3	CM007966.1	272144	276427	+	hypothetical protein
W3030C01470	W303_0C01470		YCR082W		w303_scaffold_3	CM007966.1	276656	277042	+	hypothetical protein
W3030C01480	W303_0C01480		YCR083W		w303_scaffold_3	CM007966.1	277350	277733	+	hypothetical protein
W3030C01490	W303_0C01490		YCR084C		w303_scaffold_3	CM007966.1	278084	280225	-	hypothetical protein
W3030C01500	W303_0C01500		YCR086W		w303_scaffold_3	CM007966.1	281167	281739	+	hypothetical protein
W3030C01510	W303_0C01510		YCR087C		w303_scaffold_3	CM007966.1	281781	282227	-	hypothetical protein
W3030C01520	W303_0C01520		YCR088W		w303_scaffold_3	CM007966.1	282828	284606	+	hypothetical protein
W3030C01530	W303_0C01530		YCR089W		w303_scaffold_3	CM007966.1	285194	290038	+	hypothetical protein
W3030C01540	W303_0C01540		YCR090C		w303_scaffold_3	CM007966.1	290090	290638	-	hypothetical protein
W3030C01550	W303_0C01550		YCR091W		w303_scaffold_3	CM007966.1	292178	294340	+	hypothetical protein
W3030C01560	W303_0C01560		YCR092C		w303_scaffold_3	CM007966.1	294538	297681	-	hypothetical protein
W3030C01570	W303_0C01570				w303_scaffold_3	CM007966.1	297675	298202	-	hypothetical protein
W3030C01580	W303_0C01580		YCR093W		w303_scaffold_3	CM007966.1	298411	304737	+	hypothetical protein
W3030C01590	W303_0C01590		YCR094W		w303_scaffold_3	CM007966.1	305056	306231	+	hypothetical protein
W3030C01600	W303_0C01600		YCR095C		w303_scaffold_3	CM007966.1	306464	307552	-	hypothetical protein
W3030C01610	W303_0C01610				w303_scaffold_3	CM007966.1	311470	311829	-	hypothetical protein
W3030C01620	W303_0C01620				w303_scaffold_3	CM007966.1	312291	312572	+	hypothetical protein
W3030C01630	W303_0C01630				w303_scaffold_3	CM007966.1	312642	312788	+	hypothetical protein
W3030Ctrna10T					w303_scaffold_3	CM007966.1	314217	314289	+	
W3030C01640	W303_0C01640				w303_scaffold_3	CM007966.1	315782	317338	-	hypothetical protein
W3030C01650	W303_0C01650		YCR100C		w303_scaffold_3	CM007966.1	320004	320954	-	hypothetical protein
W3030C01660	W303_0C01660		YCR101C		w303_scaffold_3	CM007966.1	321215	321763	-	hypothetical protein
W3030C01670	W303_0C01670		YCR102C		w303_scaffold_3	CM007966.1	323093	324199	-	hypothetical protein
W3030C01680	W303_0C01680		YCR104W		w303_scaffold_3	CM007966.1	326531	326905	+	hypothetical protein
W3030C01690	W303_0C01690		YCR105W		w303_scaffold_3	CM007966.1	327738	328886	+	hypothetical protein
W3030C01700	W303_0C01700		YCR106W		w303_scaffold_3	CM007966.1	329689	332187	+	hypothetical protein
W3030C01710	W303_0C01710		YCR107W		w303_scaffold_3	CM007966.1	332621	333712	+	hypothetical protein
W3030C01720	W303_0C01720				w303_scaffold_3	CM007966.1	336179	336994	+	hypothetical protein
W3030C01730	W303_0C01730		YPL283C		w303_scaffold_3	CM007966.1	336966	337133	+	hypothetical protein
W3030C01740	W303_0C01740				w303_scaffold_3	CM007966.1	337409	340402	+	hypothetical protein
W3030B00100	W303_0B00100				w303_scaffold_2	CM007965.1	584	2962	-	hypothetical protein
W3030B00110	W303_0B00110				w303_scaffold_2	CM007965.1	3211	4083	-	hypothetical protein
W3030B00120	W303_0B00120				w303_scaffold_2	CM007965.1	4498	5313	-	hypothetical protein
W3030B00130	W303_0B00130		YBL108C		w303_scaffold_2	CM007965.1	7909	8271	-	hypothetical protein
W3030Btrna13L					w303_scaffold_2	CM007965.1	9887	9970	+	
W3030B00140	W303_0B00140		YBL107C		w303_scaffold_2	CM007965.1	10265	10855	-	hypothetical protein
W3030B00150	W303_0B00150		YBL106C		w303_scaffold_2	CM007965.1	11151	14183	-	hypothetical protein
W3030B00160	W303_0B00160		YBL105C		w303_scaffold_2	CM007965.1	14545	18000	-	hypothetical protein
W3030B00170	W303_0B00170		YBL104C		w303_scaffold_2	CM007965.1	18481	21729	-	hypothetical protein
W3030B00180	W303_0B00180		YBL103C		w303_scaffold_2	CM007965.1	22380	23840	-	hypothetical protein
W3030B00190	W303_0B00190		YBL102W		w303_scaffold_2	CM007965.1	24402	25049	+	hypothetical protein
W3030B00200	W303_0B00200				w303_scaffold_2	CM007965.1	25250	25786	-	hypothetical protein
W3030B00210	W303_0B00210		YBL101C		w303_scaffold_2	CM007965.1	25791	29018	-	hypothetical protein
W3030B00220	W303_0B00220				w303_scaffold_2	CM007965.1	31927	35967	+	hypothetical protein
W3030Btrna5F					w303_scaffold_2	CM007965.1	37117	37207	+	
W3030B00230	W303_0B00230		YBL099W		w303_scaffold_2	CM007965.1	37772	39409	+	hypothetical protein
W3030B00240	W303_0B00240		YBL098W		w303_scaffold_2	CM007965.1	39864	41246	+	hypothetical protein
W3030B00250	W303_0B00250		YBL097W		w303_scaffold_2	CM007965.1	41550	43814	+	hypothetical protein
W3030B00260	W303_0B00260		YBL095W		w303_scaffold_2	CM007965.1	43997	44185	+	hypothetical protein
W3030B00270	W303_0B00270		YBL093C		w303_scaffold_2	CM007965.1	45229	45891	-	hypothetical protein
W3030B00280	W303_0B00280		YBL092W		w303_scaffold_2	CM007965.1	46951	47343	+	hypothetical protein
W3030B00290	W303_0B00290		YBL091C		w303_scaffold_2	CM007965.1	47538	47837	-	hypothetical protein
W3030B00300	W303_0B00300		YBL091C		w303_scaffold_2	CM007965.1	48336	49601	-	hypothetical protein
W3030B00310	W303_0B00310		YBL090W		w303_scaffold_2	CM007965.1	49798	50331	+	hypothetical protein
W3030B00320	W303_0B00320		YBL089W		w303_scaffold_2	CM007965.1	50397	51926	+	hypothetical protein
W3030B00330	W303_0B00330		YBL088C		w303_scaffold_2	CM007965.1	51992	60355	-	hypothetical protein
W3030B00340	W303_0B00340		YBL087C		w303_scaffold_2	CM007965.1	60795	61142	-	hypothetical protein
W3030B00350	W303_0B00350		YBL086C		w303_scaffold_2	CM007965.1	62175	63575	-	hypothetical protein
W3030B00360	W303_0B00360		YBL085W		w303_scaffold_2	CM007965.1	64849	67791	+	hypothetical protein
W3030B00370	W303_0B00370		YBL084C		w303_scaffold_2	CM007965.1	68142	70418	-	hypothetical protein
W3030B00380	W303_0B00380		YBL082C		w303_scaffold_2	CM007965.1	70724	72100	-	hypothetical protein
W3030B00390	W303_0B00390		YBL081W		w303_scaffold_2	CM007965.1	72839	73945	+	hypothetical protein
W3030B00400	W303_0B00400		YBL080C		w303_scaffold_2	CM007965.1	74043	75668	-	hypothetical protein
W3030B00410	W303_0B00410		YBL079W		w303_scaffold_2	CM007965.1	76232	80740	+	hypothetical protein
W3030B00420	W303_0B00420		YBL078C		w303_scaffold_2	CM007965.1	81351	81704	-	hypothetical protein
W3030B00430	W303_0B00430		YBL076C		w303_scaffold_2	CM007965.1	82016	85234	-	hypothetical protein
W3030B00440	W303_0B00440		YLR369W		w303_scaffold_2	CM007965.1	85472	87421	-	hypothetical protein
W3030B00450	W303_0B00450		YBL074C		w303_scaffold_2	CM007965.1	87695	88762	-	hypothetical protein
W3030B00460	W303_0B00460		YBL072C		w303_scaffold_2	CM007965.1	89491	90093	-	hypothetical protein
W3030B00470	W303_0B00470		YBL071W		w303_scaffold_2	CM007965.1	90946	91194	+	hypothetical protein
W3030B00480	W303_0B00480		YBL069W		w303_scaffold_2	CM007965.1	91709	92998	+	hypothetical protein
W3030B00490	W303_0B00490		YBL068W		w303_scaffold_2	CM007965.1	93298	94362	+	hypothetical protein
W3030B00500	W303_0B00500		YBL067C		w303_scaffold_2	CM007965.1	94607	96850	-	hypothetical protein
W3030B00510	W303_0B00510		YBL066C		w303_scaffold_2	CM007965.1	97637	101083	-	hypothetical protein
W3030B00520	W303_0B00520		YBL064C		w303_scaffold_2	CM007965.1	101339	102124	-	hypothetical protein
W3030B00530	W303_0B00530		YBL063W		w303_scaffold_2	CM007965.1	102854	106189	+	hypothetical protein
W3030B00540	W303_0B00540		YBL061C		w303_scaffold_2	CM007965.1	106284	108374	-	hypothetical protein
W3030B00550	W303_0B00550		YBL060W		w303_scaffold_2	CM007965.1	108900	110963	+	hypothetical protein
W3030B00560	W303_0B00560		YBL059C		w303_scaffold_2	CM007965.1	111093	111416	-	hypothetical protein
W3030B00570	W303_0B00570		YBL059W		w303_scaffold_2	CM007965.1	112015	112212	+	hypothetical protein
W3030B00580	W303_0B00580		YBL058W		w303_scaffold_2	CM007965.1	112405	113676	+	hypothetical protein
W3030B00590	W303_0B00590		YBL057C		w303_scaffold_2	CM007965.1	113769	114395	-	hypothetical protein
W3030B00600	W303_0B00600		YBL056W		w303_scaffold_2	CM007965.1	114730	116136	+	hypothetical protein
W3030B00610	W303_0B00610		YBL055C		w303_scaffold_2	CM007965.1	116541	117797	-	hypothetical protein
W3030B00620	W303_0B00620		YBL054W		w303_scaffold_2	CM007965.1	118557	120134	+	hypothetical protein
W3030B00630	W303_0B00630		YBL052C		w303_scaffold_2	CM007965.1	120347	122842	-	hypothetical protein
W3030B00640	W303_0B00640		YBL051C		w303_scaffold_2	CM007965.1	124124	126130	-	hypothetical protein
W3030B00650	W303_0B00650		YBL050W		w303_scaffold_2	CM007965.1	126675	127490	+	hypothetical protein
W3030B00660	W303_0B00660		YBL049W		w303_scaffold_2	CM007965.1	128199	128615	+	hypothetical protein
W3030B00670	W303_0B00670		YBL047C		w303_scaffold_2	CM007965.1	129266	133411	-	hypothetical protein
W3030B00680	W303_0B00680		YBL046W		w303_scaffold_2	CM007965.1	133795	135120	+	hypothetical protein
W3030B00690	W303_0B00690		YBL045C		w303_scaffold_2	CM007965.1	135514	136887	-	hypothetical protein
W3030B00700	W303_0B00700		YBL043W		w303_scaffold_2	CM007965.1	138059	138832	+	hypothetical protein
W3030B00710	W303_0B00710		YBL042C		w303_scaffold_2	CM007965.1	139710	141629	-	hypothetical protein
W3030B00720	W303_0B00720		YBL041W		w303_scaffold_2	CM007965.1	142616	143341	+	hypothetical protein
W3030B00730	W303_0B00730		YBL040C		w303_scaffold_2	CM007965.1	143481	143951	-	hypothetical protein
W3030B00740	W303_0B00740		YBL039W		w303_scaffold_2	CM007965.1	144762	144941	+	hypothetical protein
W3030B00750	W303_0B00750		YBL039C		w303_scaffold_2	CM007965.1	145795	147534	-	hypothetical protein
W3030B00760	W303_0B00760		YBL038W		w303_scaffold_2	CM007965.1	148040	148738	+	hypothetical protein
W3030B00770	W303_0B00770		YBL037W		w303_scaffold_2	CM007965.1	149062	151890	+	hypothetical protein
W3030B00780	W303_0B00780		YBL036C		w303_scaffold_2	CM007965.1	152300	153073	-	hypothetical protein
W3030B00790	W303_0B00790		YBL035C		w303_scaffold_2	CM007965.1	153346	155463	-	hypothetical protein
W3030B00800	W303_0B00800		YBL034C		w303_scaffold_2	CM007965.1	155701	160242	-	hypothetical protein
W3030B00810	W303_0B00810		YBL033C		w303_scaffold_2	CM007965.1	160509	161546	-	hypothetical protein
W3030B00820	W303_0B00820		YBL032W		w303_scaffold_2	CM007965.1	162037	163182	+	hypothetical protein
W3030B00830	W303_0B00830		YBL031W		w303_scaffold_2	CM007965.1	163551	164567	+	hypothetical protein
W3030B00840	W303_0B00840		YBL030C		w303_scaffold_2	CM007965.1	164893	165849	-	hypothetical protein
W3030B00850	W303_0B00850		YBL029C		w303_scaffold_2	CM007965.1	166340	166624	-	hypothetical protein
W3030B00860	W303_0B00860		YBL029W		w303_scaffold_2	CM007965.1	167729	169126	+	hypothetical protein
W3030B00870	W303_0B00870		YBL028C		w303_scaffold_2	CM007965.1	169380	169700	-	hypothetical protein
W3030B00880	W303_0B00880		YBL027W		w303_scaffold_2	CM007965.1	170287	171240	+	hypothetical protein
W3030B00890	W303_0B00890		YBL026W		w303_scaffold_2	CM007965.1	171498	171734	-	hypothetical protein
W3030B00900	W303_0B00900		YBL026W		w303_scaffold_2	CM007965.1	172468	172883	+	hypothetical protein
W3030B00910	W303_0B00910		YBL025W		w303_scaffold_2	CM007965.1	173326	173763	+	hypothetical protein
W3030B00920	W303_0B00920		YBL024W		w303_scaffold_2	CM007965.1	174378	176426	+	hypothetical protein
W3030B00930	W303_0B00930		YBL023C		w303_scaffold_2	CM007965.1	176757	179363	-	hypothetical protein
W3030B00940	W303_0B00940		YBL022C		w303_scaffold_2	CM007965.1	179711	183112	-	hypothetical protein
W3030B00950	W303_0B00950		YBL021C		w303_scaffold_2	CM007965.1	183497	183931	-	hypothetical protein
W3030B00960	W303_0B00960		YBL020W		w303_scaffold_2	CM007965.1	184238	185962	+	hypothetical protein
