osh_gene	osh_id	erg_gene	erg_id	scaffold	distance	distance_kb	direction	zone
W3030H01450		ERG25		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030H01450		ERG1		w303_scaffold_8/w303_scaffold_7			different_scaffold	Different Scaffold
W3030A00920		ERG24		w303_scaffold_1/w303_scaffold_17			different_scaffold	Different Scaffold
W3030A00920		ERG11		w303_scaffold_1/w303_scaffold_8			different_scaffold	Different Scaffold
W3030A00920		ERG7		w303_scaffold_1/w303_scaffold_8			different_scaffold	Different Scaffold
W3030A00920		ERG7		w303_scaffold_1/w303_scaffold_8			different_scaffold	Different Scaffold
W3030A00920		ERG9		w303_scaffold_1/w303_scaffold_8			different_scaffold	Different Scaffold
W3030A00920		ERG6		w303_scaffold_1/w303_scaffold_16			different_scaffold	Different Scaffold
W3030A00920		ERG5		w303_scaffold_1/w303_scaffold_16			different_scaffold	Different Scaffold
W3030A00920		ERG2		w303_scaffold_1/w303_scaffold_16			different_scaffold	Different Scaffold
W3030A00920		ERG3		w303_scaffold_1/w303_scaffold_12			different_scaffold	Different Scaffold
W3030A00920		ERG4		w303_scaffold_1/w303_scaffold_7			different_scaffold	Different Scaffold
W3030A00920		ERG25		w303_scaffold_1/w303_scaffold_7			different_scaffold	Different Scaffold
W3030A00920		ERG1		w303_scaffold_1/w303_scaffold_7			different_scaffold	Different Scaffold
W3030D02200		ERG24		w303_scaffold_4/w303_scaffold_17			different_scaffold	Different Scaffold
W3030D02200		ERG11		w303_scaffold_4/w303_scaffold_8			different_scaffold	Different Scaffold
W3030D02200		ERG7		w303_scaffold_4/w303_scaffold_8			different_scaffold	Different Scaffold
W3030D02200		ERG7		w303_scaffold_4/w303_scaffold_8			different_scaffold	Different Scaffold
W3030D02200		ERG9		w303_scaffold_4/w303_scaffold_8			different_scaffold	Different Scaffold
W3030D02200		ERG6		w303_scaffold_4/w303_scaffold_16			different_scaffold	Different Scaffold
W3030D02200		ERG5		w303_scaffold_4/w303_scaffold_16			different_scaffold	Different Scaffold
W3030D02200		ERG2		w303_scaffold_4/w303_scaffold_16			different_scaffold	Different Scaffold
W3030D02200		ERG3		w303_scaffold_4/w303_scaffold_12			different_scaffold	Different Scaffold
W3030D02200		ERG4		w303_scaffold_4/w303_scaffold_7			different_scaffold	Different Scaffold
W3030D02200		ERG25		w303_scaffold_4/w303_scaffold_7			different_scaffold	Different Scaffold
W3030D02200		ERG1		w303_scaffold_4/w303_scaffold_7			different_scaffold	Different Scaffold
W3030S02090		ERG24		w303_scaffold_19/w303_scaffold_17			different_scaffold	Different Scaffold
W3030S02090		ERG11		w303_scaffold_19/w303_scaffold_8			different_scaffold	Different Scaffold
W3030S02090		ERG7		w303_scaffold_19/w303_scaffold_8			different_scaffold	Different Scaffold
W3030S02090		ERG7		w303_scaffold_19/w303_scaffold_8			different_scaffold	Different Scaffold
W3030S02090		ERG9		w303_scaffold_19/w303_scaffold_8			different_scaffold	Different Scaffold
W3030S02090		ERG6		w303_scaffold_19/w303_scaffold_16			different_scaffold	Different Scaffold
W3030S02090		ERG5		w303_scaffold_19/w303_scaffold_16			different_scaffold	Different Scaffold
W3030S02090		ERG2		w303_scaffold_19/w303_scaffold_16			different_scaffold	Different Scaffold
W3030S02090		ERG3		w303_scaffold_19/w303_scaffold_12			different_scaffold	Different Scaffold
W3030S02090		ERG4		w303_scaffold_19/w303_scaffold_7			different_scaffold	Different Scaffold
W3030S02090		ERG25		w303_scaffold_19/w303_scaffold_7			different_scaffold	Different Scaffold
W3030S02090		ERG1		w303_scaffold_19/w303_scaffold_7			different_scaffold	Different Scaffold
W3030K02200		ERG24		w303_scaffold_11/w303_scaffold_17			different_scaffold	Different Scaffold
W3030K02200		ERG11		w303_scaffold_11/w303_scaffold_8			different_scaffold	Different Scaffold
W3030K02200		ERG7		w303_scaffold_11/w303_scaffold_8			different_scaffold	Different Scaffold
W3030K02200		ERG7		w303_scaffold_11/w303_scaffold_8			different_scaffold	Different Scaffold
W3030K02200		ERG9		w303_scaffold_11/w303_scaffold_8			different_scaffold	Different Scaffold
W3030K02200		ERG6		w303_scaffold_11/w303_scaffold_16			different_scaffold	Different Scaffold
W3030K02200		ERG5		w303_scaffold_11/w303_scaffold_16			different_scaffold	Different Scaffold
W3030K02200		ERG2		w303_scaffold_11/w303_scaffold_16			different_scaffold	Different Scaffold
W3030K02200		ERG3		w303_scaffold_11/w303_scaffold_12			different_scaffold	Different Scaffold
W3030K02200		ERG4		w303_scaffold_11/w303_scaffold_7			different_scaffold	Different Scaffold
W3030K02200		ERG25		w303_scaffold_11/w303_scaffold_7			different_scaffold	Different Scaffold
W3030K02200		ERG1		w303_scaffold_11/w303_scaffold_7			different_scaffold	Different Scaffold
W3030R03790		ERG24		w303_scaffold_18/w303_scaffold_17			different_scaffold	Different Scaffold
W3030R03790		ERG11		w303_scaffold_18/w303_scaffold_8			different_scaffold	Different Scaffold
W3030R03790		ERG7		w303_scaffold_18/w303_scaffold_8			different_scaffold	Different Scaffold
W3030R03790		ERG7		w303_scaffold_18/w303_scaffold_8			different_scaffold	Different Scaffold
W3030R03790		ERG9		w303_scaffold_18/w303_scaffold_8			different_scaffold	Different Scaffold
W3030R03790		ERG6		w303_scaffold_18/w303_scaffold_16			different_scaffold	Different Scaffold
W3030R03790		ERG5		w303_scaffold_18/w303_scaffold_16			different_scaffold	Different Scaffold
W3030R03790		ERG2		w303_scaffold_18/w303_scaffold_16			different_scaffold	Different Scaffold
W3030R03790		ERG3		w303_scaffold_18/w303_scaffold_12			different_scaffold	Different Scaffold
W3030R03790		ERG4		w303_scaffold_18/w303_scaffold_7			different_scaffold	Different Scaffold
W3030R03790		ERG25		w303_scaffold_18/w303_scaffold_7			different_scaffold	Different Scaffold
W3030R03790		ERG1		w303_scaffold_18/w303_scaffold_7			different_scaffold	Different Scaffold
