Gene_Type,Region,Treatment1,Treatment2,T1_Count,T1_Total,T1_Percentage,T2_Count,T2_Total,T2_Percentage,Odds_Ratio,P_Value,Q_Value
other,downstream_regulatory,WTA,STC,574,5719,10.03671970624235,607,5882,10.31961917715063,0.9695278440865638,0.6232850418790941,1.0
other,core_promoter,WTA,STC,295,5719,5.1582444483301275,309,5882,5.253315198911935,0.980918439919428,0.8345185569341989,1.0
other,5_UTR,WTA,STC,78,5719,1.363874803287288,76,5882,1.292077524651479,1.056335662769759,0.7462042888482262,1.0
other,3_UTR,WTA,STC,47,5719,0.8218219968525966,45,5882,0.7650459027541652,1.074827613226767,0.7543016118246687,1.0
other,upstream_regulatory,WTA,CAS,1584,5719,27.697149851372615,1618,5841,27.700736175312446,0.9998209382655524,1.0,1.0
other,proximal_promoter,WTA,CAS,514,5719,8.987585242175205,520,5841,8.902585173771614,1.010490652479125,0.8962823799763603,1.0
other,distal_promoter,WTA,CAS,517,5719,9.040041965378563,531,5841,9.090909090909092,0.9938485198000769,0.9483445028379034,1.0
other,other,WTA,CAS,2110,5719,36.89456198636125,2170,5841,37.15117274439309,0.9890545014831074,0.7874118511540429,1.0
other,downstream_regulatory,WTA,CAS,574,5719,10.03671970624235,585,5841,10.015408320493066,1.0023652537938252,0.9753027265426868,1.0
other,core_promoter,WTA,CAS,295,5719,5.1582444483301275,293,5841,5.016264338298237,1.0298433457166731,0.7350370085126612,1.0
other,5_UTR,WTA,CAS,78,5719,1.363874803287288,81,5841,1.386748844375963,0.9832771967145305,0.9364759562007761,1.0
other,3_UTR,WTA,CAS,47,5719,0.8218219968525966,43,5841,0.7361753124464989,1.1173040968281562,0.6723062827017863,1.0
other,upstream_regulatory,STC,CAS,1612,5882,27.405644338660316,1618,5841,27.700736175312446,0.9853255095630827,0.7252966431609271,1.0
other,proximal_promoter,STC,CAS,515,5882,8.755525331519891,520,5841,8.902585173771614,0.9818961316306202,0.7945586059539519,1.0
other,distal_promoter,STC,CAS,529,5882,8.993539612376743,531,5841,9.090909090909092,0.9882308985615542,0.8720855100094933,1.0
other,other,STC,CAS,2189,5882,37.21523291397484,2170,5841,37.15117274439309,1.0027463840545259,0.954282083264824,1.0
other,downstream_regulatory,STC,CAS,607,5882,10.31961917715063,585,5841,10.015408320493066,1.0338694859642727,0.603421646947768,1.0
other,core_promoter,STC,CAS,309,5882,5.253315198911935,293,5841,5.016264338298237,1.04987662970355,0.5864814379353402,1.0
other,5_UTR,STC,CAS,76,5882,1.292077524651479,81,5841,1.386748844375963,0.9308378305967008,0.6881916263015553,1.0
other,3_UTR,STC,CAS,45,5882,0.7650459027541652,43,5841,0.7361753124464989,1.0395193453151708,0.9149125293822953,1.0
